stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,13,2,11,0,0,3,1,0,0,1,0,0,0,0,8,0,0,4,87,1,0,0,1,3,14,0,6,35,0,0,0,0
 24-34,0.82,6.57,2.46,45.15,0,0,3.28,0,0,0,0,0,0,0,2.46,27.09,0,0,5.75,299.61,0.82,2.46,3.28,0,5.75,0,0,0.82,64.85,0,0,0.82,0.82
 36-46,0,2.42,1.61,97.49,1.61,0,8.86,0,0,0,0,0,0,0,0,28.2,0,0.81,5.64,242.51,0,3.22,1.61,0,6.45,0,0.81,0,52.37,0,0,0,0
 48-58,0,2.87,1.15,129.68,0,1.15,9.18,0.57,0.57,0,1.15,0,0,0.57,0,25.82,1.15,2.3,8.03,175.58,0.57,1.15,1.72,0,0.57,0,0.57,0,38.44,0,0,0,0.57
 60-70,0,4.91,0,135.45,0.98,0,7.85,0,0,0.98,0,1.96,0.98,0,0,29.45,0,0.98,1.96,147.23,0,0.98,0,0,3.93,0,0,0,13.74,0,0,0.98,0
 72-82,0,5.89,1.96,76.57,0,1.96,17.67,1.96,0,0,0,0,0,0,0,32.39,0,0.98,3.93,101.11,0,0.98,0,0,2.94,0,0,0,4.91,0,0,4.91,0
 84-94,0,5.31,1.06,32.92,1.06,0,4.25,2.12,0,1.06,1.06,0,0,0,0,24.43,0,0,6.37,38.23,0,1.06,0,0,6.37,0,0,0,2.12,1.06,0,2.12,0
 96-106,0,5.46,0,25.14,2.19,0,7.65,0,0,0,0,2.19,1.09,0,0,16.39,0,0,2.19,39.34,1.09,0,0,0,2.19,0,0,0,2.19,1.09,0,2.19,0
108-118,0,1.53,3.06,32.17,0,0.77,3.06,0.77,0,1.53,2.3,0,0,0.77,0,7.66,0.77,1.53,2.3,36.77,0,0.77,0,0,1.53,0,0,0,0.77,0.77,0.77,1.53,0
120,0,9.8,9.8,33.32,0,1.96,5.88,0,0,3.92,0,0,1.96,1.96,0,17.64,0,1.96,5.88,60.75,0,0,0,0,0,0,0,0,0,0,0,1.96,0
