stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,4.03,0.81,0,0,0,0,0,0,0,0.81
 48-58,0,0.57,0,4.59,0,0,0.57,0,0,0,0,0,5.16,0.57,0,7.46,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,15.7,0,0,0.98,0,0,0,0.98,0,17.67,0.98,0,21.59,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,35.34,0,0,0.98,1.96,0,0,0,0,18.65,0.98,0.98,17.67,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,1.06,1.06,16.99,0,0,2.12,2.12,0,0,0,0,9.56,1.06,0,9.56,3.19,0,1.06,0,0,0,0,0,0
 96-106,0,3.28,0,32.79,1.09,0,2.19,7.65,0,1.09,0,0,5.46,0,0,15.3,2.19,0,1.09,1.09,0,1.09,0,0,0
108-118,0,0,0,22.98,0,0,2.3,7.66,0,0,0,0,11.49,0,0,8.43,4.6,0.77,0,0,0,0,0.77,0.77,0
120,0,0,0,31.36,0,1.96,1.96,1.96,0,0,0,0,3.92,0,0,15.68,1.96,0,0,0,0,0,0,0,0
