stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,8.21,0,0,0,0,3.28
 36-46,0,0,0,0,0,0,22.56,0,0,0,0,0.81
 48-58,0,0.57,0,1.72,1.15,0.57,8.03,0,0,0,0,3.44
 60-70,0,0,0,0.98,0.98,0.98,5.89,0,0,0,0,1.96
 72-82,0,0,0,5.89,0,0.98,3.93,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,1.09,1.09,0,2.19,1.09,1.09,0,0,0
108-118,0,0,0.77,0,0,0.77,2.3,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0
