stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,166.79,22.03,0,0,887.45,0,40.91,9.44,0,18.88,0,0,0,0,0
 14-21,0,1,21,2,0,2,0,0,1,0,2,0,90,0,0,1,1,9,0,122,30,17,0,0,4,5,957,0,1,1548,19,0,0,1,0
 24-34,0,0,9.03,0,0,4.1,4.1,1.64,0.82,0.82,0,0,144.47,0,0,0.82,53.36,26.27,0,256.11,42.68,4.1,1.64,0,0,2.46,4.93,0.82,0,114.1,27.91,0,0,0,0
 36-46,0,0,8.86,0,0,5.64,2.42,4.03,0,0,0.81,0,48.34,0,0,0,147.44,6.45,0,105.54,24.98,0,0,0,0.81,1.61,0.81,0,0.81,1.61,21.75,0,0,0,0
 48-58,0,0,22.95,0,0,6.31,0.57,8.03,1.72,0.57,1.15,0,33.28,0.57,0,0,128.53,11.48,0,84.92,24.1,0,0.57,1.15,0,0,0,0,0,0,30.41,0,0,0,1.15
 60-70,0,0,26.5,0.98,0,4.91,0.98,0.98,0,0,0,0,44.17,0,0,0,95.21,5.89,0,62.82,15.7,0,0.98,0,0,1.96,0,0,0,0,18.65,4.91,0,0,0
 72-82,0,0,64.79,1.96,0,15.71,1.96,6.87,3.93,4.91,0.98,0,84.42,0,0,0,133.51,7.85,0,104.06,26.5,0,0.98,0,0,1.96,0,0,0,0,11.78,15.71,0.98,0,0
 84-94,0,0,105.14,0,0,20.18,3.19,3.19,0,10.62,0,1.06,145.5,0,0,0,130.63,16.99,0,62.66,10.62,0,4.25,0,0,3.19,0,0,0,0,9.56,53.1,1.06,0,0
 96-106,0,0,165.02,1.09,1.09,10.93,2.19,0,4.37,30.6,0,0,189.06,0,6.56,1.09,101.63,19.67,2.19,61.2,24.04,1.09,4.37,0,0,4.37,0,1.09,0,0,2.19,72.13,0,0,0
108-118,0,0,87.32,0.77,0.77,4.6,3.06,3.06,2.3,11.49,0,2.3,149.36,0,3.83,0,88.09,12.26,0,61.28,19.15,0.77,6.89,0.77,0,1.53,0,0.77,0,0,1.53,39.06,0,0,0
120,0,0,97.99,0,0,7.84,0,0,0,5.88,0,0,90.15,1.96,3.92,0,58.79,1.96,0,72.51,19.6,0,1.96,0,0,1.96,0,0,0,0,0,19.6,0,0,0
