stage,epidermis,erythrocytes,eye,fast_muscle,gut,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,2,0,0,0,0,0,1,0,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,0,2.46,0,0,0,0.82,0
 36-46,0,0,2.42,0.81,0,0,3.22,0.81,4.03,0.81,0.81,1.61,0,0
 48-58,0.57,0.57,0.57,0,0.57,0,0.57,0,1.15,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,1.96,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,2.12,0,3.19,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
