stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,113.29,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,1,0,72,19,0,0,2,0,0,17,1,0,0,0,8,0,0,158,1,0,139,50,3,2,19,51,0,0,107,0,0,95,11,0,0,0,0,0
 24-34,0,0.82,0.82,55.82,2.46,6.57,0,13.95,15.6,0,4.1,1.64,0,0.82,0.82,50.07,0,0.82,232.3,1.64,0,85.37,92.76,2.46,7.39,67.31,0,0,0,0,0.82,0.82,72.24,27.09,0,0,0,0,0
 36-46,0,0,0,23.36,0.81,4.03,0,2.42,38.67,0.81,3.22,5.64,0.81,0,0,35.45,0.81,0,203.83,0.81,15.31,55.59,42.7,0.81,4.03,48.34,0,0.81,0.81,0,0,0,0.81,24.17,0,0,0,0,0
 48-58,0,0,0,14.35,0,8.61,0.57,1.15,52.79,4.02,0,0.57,0,0,1.15,33.85,0.57,5.74,180.17,0.57,27.54,32.13,30.41,0.57,1.72,39.02,0,2.87,0,0,0,0,0,22.95,0,1.72,0,1.15,0
 60-70,0,0,0,8.83,0,4.91,0.98,0.98,64.78,5.89,0,1.96,0,1.96,0,29.45,0.98,2.94,299.36,0,37.3,29.45,19.63,0,0,31.41,0,1.96,0,0,0.98,0,0,13.74,0.98,16.69,0,8.83,0
 72-82,0,0,0,10.8,0,22.58,0.98,0.98,84.42,4.91,0.98,1.96,0,0.98,0,37.3,0,0,402.48,0.98,36.32,30.43,35.34,0,0,65.77,0,2.94,1.96,0,0,0,0,12.76,0,29.45,0.98,32.39,0
 84-94,0,0,0,20.18,1.06,32.92,1.06,1.06,73.28,10.62,1.06,0,0,3.19,0,56.29,0,5.31,246.39,0,37.17,15.93,22.3,0,1.06,87.09,0,1.06,1.06,0,0,0,0,9.56,0,27.61,1.06,29.74,1.06
 96-106,0,0,0,39.34,4.37,24.04,2.19,5.46,61.2,4.37,0,1.09,2.19,1.09,1.09,66.66,1.09,7.65,281.95,1.09,29.51,24.04,38.25,1.09,1.09,89.61,0,3.28,3.28,0,0,0,0,7.65,0,7.65,2.19,30.6,0
108-118,0,0,0,26.04,0,12.26,1.53,1.53,54.38,1.53,0.77,0.77,1.53,7.66,0.77,39.06,0.77,2.3,291.83,0.77,20.68,25.28,29.11,0.77,1.53,90.38,0,1.53,0.77,0,0,0,0,1.53,0.77,7.66,3.06,21.45,0
120,0,0,0,9.8,1.96,11.76,1.96,0,41.16,0,0,1.96,1.96,3.92,0,52.91,0,3.92,207.74,0,3.92,5.88,31.36,1.96,0,52.91,0,0,0,0,0,0,0,1.96,0,11.76,0,21.56,0
