stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0.82,0,9.03,0,0,0,0,0,15.6,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0.81,0.81,9.67,0,0,0,0,0.81,10.47,0,0
 48-58,0,0,0.57,0,5.74,0.57,1.72,0,0,1.15,0,16.64,0,0,0,0,0,6.31,2.87,0
 60-70,0,0,0,0,4.91,0,0.98,0,0,3.93,0,10.8,0,0,0,0,0,8.83,0,0
 72-82,0,0,0,0,8.83,0,0,1.96,0,4.91,0,11.78,0,0,0.98,0,0,7.85,2.94,0
 84-94,0,0,0,0,3.19,0,0,11.68,1.06,2.12,0,11.68,0,1.06,0,0,2.12,7.43,0,0
 96-106,0,0,0,0,4.37,0,0,9.84,0,0,0,9.84,0,0,0,0,0,10.93,0,0
108-118,0,0.77,0.77,0,1.53,0,0,12.26,0,0,0,2.3,0,0,0,0,0,8.43,0,0.77
120,0,0,0,1.96,5.88,0,0,33.32,0,1.96,0,5.88,1.96,0,0,0,0,15.68,1.96,0
