stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,2,0,1,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,6.57,5.75,0,0,2.46,0,2.46,0,0,1.64,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,7.25,2.42,0.81,0,0,0,2.42,2.42,0,1.61,0,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,1.15,0,0,10.33,0.57,0,0.57,0,0,5.16,0.57,0,1.72,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,0,14.72,0.98,0,0,0,0,3.93,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,2.94,0,0,0,17.67,0.98,0,0,0,0,3.93,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,1.06,1.06,23.36,1.06,0,0,0,1.06,0,0,0,5.31,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,30.6,0,0,1.09,0,0,1.09,2.19,0,5.46,0,0,0,0,0,2.19
108-118,0,0,0,0,3.06,0.77,0.77,0,27.57,0,0,0,0,0,2.3,0.77,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,35.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
