stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,105.42,1779.02,0,0,0,0,0,0,0,0,65.89,0,0,0
  5-6,36.78,582.32,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,5.26,0,0,49.95,0,18.4,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,56.65,0,28.32,0,12.59,0,0
 14-21,0,0,0,1,0,1,2,6,0,1,0,0,2,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,1.15,1.72,0,1.15,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
