stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,69.23,6.29,18.88,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,8.06,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0,5.74,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,4.91,0,0.98,3.93,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,1.96,0,0,4.91,0,0,0,0,0.98,1.96,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,2.12,0,0,2.12,1.06,0,4.25,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,4.37,0,1.09,1.09,0,0,6.56,0,0,1.09,0,0
108-118,0,0,0,1.53,0,1.53,0,0,0,0.77,0,0,0.77,0,2.3,0,0,2.3,0,0,0.77,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,5.88,0,0,1.96,0,0
