stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,275.83,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,18.4,55.2,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,3.15,22.03,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,4,0,0,0,10,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0.82,0,0,7.39,0.82,0,0,1.64,0.82,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0.81,0,0,0,7.25,0.81,0,0,3.22,2.42,0,0
 48-58,0,0,0,0.57,0,1.72,0,0,0,0,0.57,0,0,0,0.57,0,9.75,1.15,0,0,1.15,1.15,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,1.96,1.96,0,0,0,0,0,0,5.89,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,0.98,4.91,2.94,0,0.98,0,0,0.98,0.98,0,9.82,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,1.06,13.81,1.06,0,0,0,0,0,0,5.31,2.12,0,0,2.12,1.06,0,0
 96-106,0,0,1.09,1.09,0,3.28,0,1.09,6.56,8.74,2.19,0,0,0,0,2.19,3.28,9.84,1.09,0,5.46,1.09,1.09,1.09
108-118,0,0,0,0.77,0,3.06,0,5.36,3.83,3.06,0,0,0,1.53,0,0.77,5.36,6.89,0,0,2.3,0,1.53,0
120,0,0,0,3.92,0,0,0,1.96,0,1.96,0,1.96,0,1.96,0,0,1.96,3.92,0,0,3.92,1.96,0,0
