stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,26.29,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,116.44,34.62,0,0,56.65,0,0,3.15,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,7,28,2,12,0,1,0,3,3,0,0,0,0,0,0,0,1,16,0,0,13,70,109,0,0,2,0,8,0,15,7,4,18,45,0,1,0,0
 24-34,0.82,0,1.64,1.64,13.95,1.64,7.39,0,0,0.82,7.39,0,0,1.64,0,0.82,0,0,0.82,0,44.33,0,0,32.83,118.2,106.71,0,0.82,0,0,2.46,0,0,1.64,0.82,0,50.07,0,1.64,0,0
 36-46,0,0,0.81,0,12.89,0,12.89,0.81,2.42,0,3.22,0,0,5.64,0,0,0,0,0,0,54.79,0,0.81,21.75,91.04,87.82,0,0,0,0,1.61,0,0,2.42,0.81,0,33.84,0,1.61,0,0
 48-58,0.57,0,2.3,0,17.21,0,14.92,1.15,0.57,1.15,2.87,0,5.16,1.72,0,0,0.57,0.57,0,0.57,78.61,1.15,0.57,5.74,68.86,55.66,0,0.57,0,1.72,1.72,0,0,0,0.57,0,18.94,0,0.57,0,0.57
 60-70,0,0,2.94,0,21.59,0,59.87,0,0,2.94,3.93,0.98,0.98,0,0,0,0.98,1.96,0.98,0,123.67,2.94,1.96,4.91,115.82,59.87,1.96,1.96,0,0,0,0,0,0,0,0,17.67,0.98,0,0.98,0.98
 72-82,0,0,2.94,0,26.5,0,174.74,0.98,2.94,3.93,5.89,1.96,0,0,0,0.98,0,2.94,0,0,104.06,2.94,2.94,5.89,85.4,28.47,0,2.94,0,0,1.96,0,0,0,0,0,15.71,0,0,2.94,0
 84-94,0,0,3.19,0,64.78,1.06,181.61,0,4.25,0,2.12,2.12,0,1.06,0,1.06,1.06,5.31,1.06,0,55.23,1.06,2.12,6.37,54.16,72.22,1.06,1.06,0,0,0,0,0,1.06,0,0,5.31,1.06,1.06,3.19,1.06
 96-106,0,0,3.28,0,59.01,0,171.58,1.09,4.37,2.19,6.56,2.19,0,0,1.09,0,0,7.65,1.09,0,65.57,2.19,2.19,4.37,57.92,37.16,1.09,4.37,0,1.09,4.37,0,0,0,0,0,5.46,3.28,1.09,7.65,1.09
108-118,0,0,2.3,0,114.13,0,127.15,2.3,6.89,0,9.96,2.3,0,0,1.53,0.77,0,6.89,0,0,48.26,3.06,1.53,3.83,53.62,47.49,0.77,0.77,0,0.77,1.53,0,0,1.53,0,0,1.53,3.06,0,6.13,2.3
120,1.96,0,1.96,0,148.94,0,125.43,0,25.48,0,3.92,3.92,0,0,3.92,1.96,0,5.88,0,0,45.08,5.88,3.92,1.96,72.51,90.15,0,0,0,3.92,5.88,0,0,1.96,0,0,1.96,1.96,3.92,3.92,0
