stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,31.54,0,0,18.4,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,50.35,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,13.13,0,0,0,0,0.82,2.46,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,0.81,0.81,14.5,0.81,0.81,0,0.81,0,2.42,0.81,0
 48-58,0,0,0,0,0,0,1.72,0.57,0,0.57,0,0,0,0,0,0,0,13.2,0,0,0,1.15,0,1.15,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,3.93,0,0,0.98,0,0,3.93,0,13.74,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,5.89,0,0,3.93,0.98,0,0,0,0,7.85,0,16.69,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,0,8.5,0,0,2.12,0,0,0,1.06,0,2.12,0,12.74,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,0,3.28,0,0,1.09,0,0,1.09,0,0,1.09,1.09,4.37,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,1.53,0.77,0,1.53,0.77,0.77,0,0,0,0,0,1.53,4.6,0,6.89,0,0,0,0.77,0,1.53,0,1.53
120,0,0,0,0,0,1.96,1.96,0,0,3.92,0,0,0,0,0,1.96,0,11.76,0,0,0,0,0,0,0,0
