stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,306.48,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,18.4,0,0,0,44.69,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,239.21,2.63,0,0,99.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.82,12.59,0,0,75.53,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,22,0,13,0,0,0,4,0,0,0,0,0,0,0,0,3,12,0,0,7,146,2,0,1,5,0,0,11,1,15,70,0,0,1,0,2
 24-34,0,0,0,0.82,16.42,3.28,0,23.8,0,0,1.64,9.03,0.82,0,1.64,0.82,0.82,0,0,0,7.39,30.37,0,0,11.49,280.73,2.46,0,1.64,0,0,2.46,0,0.82,2.46,70.59,0,0,6.57,0,4.93
 36-46,0,0,0,0,1.61,1.61,0,23.36,0.81,2.42,2.42,24.17,0,0,2.42,0.81,2.42,0.81,0.81,0.81,3.22,37.06,0,0,8.86,295.68,0,0,2.42,0,0,0.81,0.81,0,0,109.57,0,0,6.45,0,3.22
 48-58,0.57,0,0,0,4.59,2.3,0,71.73,1.72,2.3,1.72,44.76,0,0,0,1.72,1.15,1.72,0.57,0.57,4.59,56.23,0.57,1.72,10.33,319.04,1.15,1.72,4.59,0,0,1.72,0,0,0,77.46,0,0,6.89,0,4.59
 60-70,0,0,0,0,8.83,7.85,0,143.3,0,0,1.96,63.8,0.98,0,0,0.98,0.98,2.94,0,0,1.96,71.65,0.98,2.94,12.76,443.65,0,0,2.94,0,0,2.94,0,0,0,59.87,0,1.96,7.85,0.98,5.89
 72-82,0,0,0.98,0,14.72,41.23,0.98,146.27,0,0.98,6.87,94.24,1.96,0,3.93,5.89,1.96,0.98,0.98,0.98,4.91,134.49,1.96,4.91,5.89,408.37,0.98,1.96,12.76,0,0.98,0.98,0,1.96,0,36.32,0,5.89,17.67,6.87,4.91
 84-94,0,0,0,0,19.12,40.36,0,103.02,0,7.43,4.25,52.04,0,0,0,4.25,2.12,5.31,2.12,0,5.31,76.47,1.06,6.37,9.56,197.54,1.06,0,7.43,0,0,8.5,0,0,0,24.43,1.06,2.12,15.93,3.19,5.31
 96-106,0,0,0,0,21.86,36.06,1.09,90.71,5.46,2.19,1.09,51.36,7.65,0,2.19,5.46,6.56,5.46,1.09,1.09,4.37,63.39,2.19,4.37,5.46,182.51,0,2.19,8.74,1.09,0,8.74,0,2.19,0,14.21,1.09,2.19,13.11,3.28,8.74
108-118,0,0,0,0,29.87,23.74,3.06,92.68,2.3,8.43,0.77,47.49,6.89,0,1.53,4.6,4.6,6.13,0.77,2.3,3.83,51.32,0,5.36,6.89,209.11,3.06,0.77,5.36,0,3.06,2.3,0,2.3,0,5.36,1.53,3.06,11.49,2.3,6.89
120,0,0,0,0,21.56,21.56,0,48.99,3.92,7.84,0,35.28,0,0,0,5.88,3.92,5.88,0,0,0,48.99,0,1.96,3.92,209.7,3.92,1.96,5.88,0,1.96,5.88,0,1.96,0,7.84,1.96,1.96,21.56,3.92,1.96
