stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,3,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4,0,0,0,30,1,0,0,1,0,0,3,0,4,15,0,0,4,0,0
 24-34,0,1.64,0.82,0,4.1,0,3.28,4.93,0,0,3.28,0,0,0.82,0,0.82,0,32.83,0,0,14.78,175.66,11.49,9.03,0.82,0,0.82,1.64,0,0,3.28,47.61,0,0,32.01,0,0
 36-46,0,1.61,0.81,0,10.47,0,0,8.06,0.81,0.81,4.83,0,0,0,0,0,2.42,49.95,0,0,30.62,530.13,9.67,4.83,0.81,0,0,1.61,0,0.81,0,124.07,0,0,30.62,0.81,0
 48-58,0,2.87,0,0,36.15,0,1.72,9.75,6.31,0,2.3,0,0,0,0,0,1.15,77.46,0.57,2.87,18.36,531.92,0.57,6.31,1.15,0,0,1.15,0,0,0,139.43,0,0,19.51,0,0
 60-70,0,1.96,0,0,86.37,0,4.91,9.82,11.78,0,1.96,0.98,0,1.96,1.96,0,0.98,126.62,0,2.94,15.7,747.92,1.96,1.96,1.96,0,1.96,0,0,0.98,0,159.99,0,6.87,13.74,0.98,0.98
 72-82,0.98,4.91,1.96,0,109.95,0.98,2.94,7.85,22.58,0.98,6.87,0,0,1.96,3.93,0,0,238.54,0,7.85,12.76,629.25,0,8.83,2.94,0,2.94,1.96,0,0,0,94.24,0,11.78,51.05,8.83,3.93
 84-94,0,8.5,2.12,0,80.71,0,3.19,3.19,13.81,1.06,3.19,0,1.06,2.12,1.06,0,1.06,179.48,0,7.43,10.62,338.79,7.43,4.25,7.43,0,0,1.06,0,0,0,64.78,0,7.43,39.3,16.99,0
 96-106,0,7.65,3.28,0,77.59,0,2.19,9.84,18.58,1.09,7.65,1.09,0,1.09,4.37,1.09,0,142.07,0,7.65,7.65,291.79,0,5.46,6.56,0,6.56,5.46,0,0,0,25.14,1.09,7.65,39.34,12.02,2.19
108-118,0.77,4.6,1.53,2.3,62.81,0.77,2.3,9.96,14.55,3.06,1.53,0,0.77,4.6,0.77,0.77,5.36,111.06,1.53,3.06,6.89,363.83,1.53,6.89,4.6,0,10.72,3.83,0,0,0,19.92,0.77,4.6,34.47,13.79,0.77
120,0,9.8,1.96,0,97.99,0,5.88,3.92,11.76,0,7.84,0,0,0,3.92,0,3.92,103.87,0,3.92,3.92,348.84,7.84,3.92,1.96,0,1.96,1.96,0,0,0,21.56,0,7.84,23.52,17.64,0
