stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,263.57,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,5.26,0,0,0,10.51,0,0,0,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,378.53,13.14,0,0,84.12,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,22.03,0,0,0,12.59,0,0,0,0,0,97.56,0,0,0,0,0,0,0,0,0,0,0,660.86,22.03,0,0,100.7,15.73,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,38,2,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,2,47,1,0,0,1,12,2,0,0,4,36,0,0,0,0,0
 24-34,0,0,0,0,31.19,1.64,0,5.75,0,2.46,0,5.75,0.82,0,0,0.82,3.28,0,0.82,0,0,9.03,4.93,0,4.1,106.71,0,0.82,0.82,0,43.51,0,1.64,0,1.64,30.37,0,0,4.1,0,0
 36-46,0,0,0,0,20.95,0.81,0,9.67,0,2.42,0,7.25,0,0,0,0,2.42,0,0.81,0,0.81,12.09,1.61,0.81,1.61,104.74,0,4.83,2.42,0,37.87,0,0,0,0,19.34,0,0,5.64,0,0
 48-58,0,0,0,0,10.33,0,0,44.76,0,2.3,1.72,14.92,1.72,0,1.72,0,1.15,0.57,1.72,0,0,18.94,5.16,0,0.57,60.82,0,3.44,0.57,0,16.07,0,0.57,0,0,19.51,0,0.57,1.15,0,0
 60-70,0,0,0,0,12.76,0,0,141.34,0,2.94,0.98,17.67,2.94,0,1.96,2.94,2.94,0.98,2.94,0,0,32.39,1.96,2.94,1.96,53,1.96,0.98,0,0,12.76,0,1.96,0,0,14.72,0,0,0,0,0
 72-82,0,0,0,0,20.61,1.96,0.98,124.67,0,0.98,1.96,13.74,1.96,0.98,1.96,5.89,5.89,0.98,0.98,0.98,0,31.41,4.91,0,0.98,46.14,0,5.89,1.96,0,9.82,0,0.98,0,0,7.85,5.89,0,3.93,0.98,0.98
 84-94,0,0,1.06,0,41.42,1.06,0,97.71,1.06,2.12,2.12,9.56,11.68,0,0,5.31,7.43,1.06,5.31,2.12,2.12,30.8,4.25,1.06,1.06,31.86,0,3.19,1.06,0,28.68,0,2.12,0,0,3.19,11.68,2.12,5.31,0,0
 96-106,0,0,0,0,39.34,1.09,0,87.43,0,2.19,0,8.74,10.93,0,3.28,6.56,5.46,0,6.56,3.28,0,17.49,3.28,1.09,1.09,38.25,1.09,14.21,2.19,0,25.14,0,0,0,0,2.19,5.46,0,2.19,0,2.19
108-118,0,0,0.77,0.77,46.72,0,2.3,53.62,0.77,5.36,2.3,11.49,12.26,0,0,6.13,4.6,0.77,4.6,0.77,0,16.09,1.53,0,3.83,39.06,0.77,6.13,3.06,0,19.92,0,2.3,1.53,0,2.3,6.89,0.77,4.6,0,0.77
120,0,0,1.96,3.92,52.91,1.96,0,33.32,1.96,3.92,0,13.72,21.56,0,0,5.88,13.72,0,0,0,1.96,25.48,0,0,9.8,43.12,0,7.84,3.92,0,17.64,0,0,0,0,0,9.8,0,0,0,0
