stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,2503.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1274.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,5.26,0,73.6,0,0,10.51,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,265.5,5.26,0,0,139.32,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,12.59,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,40.91,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,16,15,0,0,10,0,0,0,0,0,0,2,0,0,0,0,188,0,0,97,27,1,0,0,0,0,2,0,2,0,7,44,0,0,0,0,0
 24-34,0,0,0,0.82,8.21,0.82,3.28,0,56.64,0,0.82,0,0,1.64,0.82,3.28,0,0,0.82,0,357.89,0,0,91.12,128.05,0,0.82,4.93,0,0,6.57,0,0.82,0.82,0,82.91,0,0,2.46,0,0
 36-46,0,0,0,0,8.86,0,10.47,0.81,59.62,12.09,0.81,0,0,1.61,0,0.81,0,0,0,0,468.9,0.81,2.42,126.49,141.8,0,0.81,6.45,0,0,4.83,0,0,0,0,62.84,0,0,0,0,0
 48-58,0,0,0.57,0,11.48,0,34.43,1.15,74.02,37.3,5.74,0.57,0,0.57,0,0,0,0,0,0,570.94,0,3.44,84.35,157.22,1.15,0,8.03,0,0,1.72,0,0,0.57,0,44.18,0,1.72,0,0,0
 60-70,0,0,0,0,20.61,0,65.76,0.98,75.58,74.6,2.94,1.96,0,0,0.98,1.96,2.94,0,0,0.98,616.4,1.96,10.8,44.17,176.67,0,0,11.78,0,0,4.91,0,0,0,0,27.48,0,7.85,1.96,1.96,0
 72-82,0,0,0.98,0,45.16,1.96,63.81,0.98,85.4,92.28,12.76,3.93,0,3.93,0.98,2.94,1.96,0,0.98,1.96,695.02,0.98,27.49,51.05,167.86,1.96,0,14.72,0,0,6.87,0.98,0,0.98,0,14.72,0,11.78,3.93,8.83,0
 84-94,0,0,2.12,0,83.9,2.12,76.47,0,148.69,64.78,7.43,0,0,4.25,0,2.12,4.25,1.06,0,7.43,517.21,1.06,24.43,18.05,87.09,1.06,2.12,18.05,0,0,32.92,0,0,3.19,0,7.43,1.06,13.81,7.43,13.81,0
 96-106,0,0,2.19,0,109.28,0,65.57,2.19,162.83,44.81,8.74,1.09,0,7.65,0,6.56,5.46,1.09,1.09,10.93,402.17,1.09,24.04,12.02,87.43,0,2.19,14.21,0,1.09,19.67,0,0,6.56,0,4.37,0,8.74,4.37,27.32,0
108-118,0,0,0,0,95.75,0,39.83,0,159.32,49.02,3.06,0,0,1.53,0,4.6,3.83,0,0,12.26,368.43,0,18.38,14.55,88.09,0,1.53,20.68,0,1.53,16.09,0,0,3.83,0,2.3,0,3.06,3.83,7.66,1.53
120,0,0,0,0,66.63,0,31.36,0,115.63,50.95,1.96,0,0,5.88,0,1.96,3.92,0,0,5.88,268.49,0,11.76,7.84,96.03,0,0,11.76,0,0,3.92,0,0,0,0,7.84,1.96,9.8,0,15.68,0
