stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,1,1,0,0,1,0,0,0,0,0,2,15,2,0,0,1,0,3,4,0,0,0,0
 24-34,0.82,1.64,0,23.8,0,0,0.82,0,0,0,2.46,0,1.64,26.27,0,0,1.64,0,0,0,8.21,0,0.82,0,0
 36-46,0,0.81,0,41.89,0,0,1.61,0,0,0,4.83,0.81,0.81,23.36,0,0,0,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,56.81,0,0,1.15,0.57,0,0.57,6.89,0,0.57,15.49,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,55.95,0.98,0,1.96,0,0,0,8.83,0,0,17.67,0,0.98,0.98,0,0.98,0,2.94,0,0,0,0
 72-82,0,0,0,48.1,0,0,3.93,0,0,0,7.85,0,0.98,8.83,0,0,0.98,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,3.19,0,82.84,0,0,3.19,0,0,0,2.12,0,1.06,2.12,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,2.19,62.29,0,0,5.46,1.09,1.09,1.09,4.37,0,1.09,4.37,0,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,50.55,0,0.77,2.3,0,1.53,0,3.83,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,35.28,1.96,1.96,0,0,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0
