stage,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pronephros,somites,spinal_cord
 14-21,1,0,1,0,0,0,1,0,0,1,1,5
 24-34,0,0.82,4.1,0,0,0,8.21,0,0,0,0,8.21
 36-46,0,0,0,0,0,0.81,8.06,0,0,0,0,5.64
 48-58,0,1.15,1.15,0,0.57,0,5.16,0,0.57,0,0,0.57
 60-70,0.98,2.94,0.98,0,0.98,0,4.91,0,0,0,0,1.96
 72-82,0,0,0,0.98,0.98,0.98,1.96,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,2.3,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,5.88,0,0,0,0,0
