stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,79.69,809.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,13.14,0,0,0,42.06,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,289.16,13.14,0,0,99.89,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,0,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,195.11,6.29,0,0,72.38,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,23,1,0,10,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,5,100,0,1,2,3,1,0,10,0,10,35,0,0,0
 24-34,0.82,0,0,0.82,3.28,0.82,0,20.52,0,0,0,4.1,0,0,0,0,0,0.82,0,1.64,22.16,0.82,0.82,7.39,167.45,0,0,2.46,0,5.75,0,0,0,3.28,39.4,1.64,0,0.82
 36-46,0,0,0,0.81,1.61,0,0,30.62,0,0,0.81,5.64,0,0,0.81,0,0,0.81,0,0,15.31,0,0,3.22,92.65,1.61,0,0.81,0,1.61,0,0,0,0,27.39,1.61,0,0
 48-58,0,0,0,0,4.02,0,0,37.87,0,0,0,5.16,0,0,0.57,0,0,0.57,0,0,14.92,0,0,3.44,44.76,0,0.57,1.72,0,1.72,0,0,0.57,0,11.48,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,27.48,0,0.98,0.98,11.78,0,0,0,0.98,0,0,0,0,13.74,0,0.98,6.87,39.26,0,0,0.98,0,0,0,0,0,0,12.76,1.96,0,0
 72-82,0,0,0.98,0,2.94,0,0,14.72,0,0,0,13.74,0.98,0,0.98,0.98,0.98,0.98,0.98,0,17.67,0,0,3.93,36.32,0.98,1.96,0,0,1.96,0,0,0,0,2.94,1.96,0,0
 84-94,0,0,0,0,2.12,0,0,20.18,0,1.06,0,6.37,0,0,0,0,1.06,0,1.06,0,12.74,0,0,0,8.5,0,0,0,0,5.31,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,17.49,0,1.09,1.09,13.11,0,0,0,1.09,2.19,0,0,0,9.84,0,2.19,2.19,16.39,0,0,2.19,0,7.65,0,0,1.09,0,1.09,0,0,1.09
108-118,0,0,0,0,1.53,0,0.77,13.79,0.77,0.77,0.77,6.89,0,0,0.77,0,0,0,0,0,7.66,0,0,1.53,16.09,0,0.77,0.77,0,2.3,0,0,0,0,0,2.3,1.53,0.77
120,0,0,0,0,1.96,0,0,5.88,0,0,0,5.88,0,0,0,0,0,0,0,0,7.84,0,0,3.92,11.76,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0
