stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0.82,0.82,0,2.46,35.3,0,0.82,0,0.82,0,0,0,0,0.82,10.67,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,1.61,0,2.42,25.78,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0.81
 48-58,0,0,0,0,0,10.9,0,0,5.16,0,0,0,0.57,7.46,0,2.87,63.12,0.57,0.57,0,0,0.57,0,0,0,0,12.05,0,0,2.3,0,0
 60-70,0,0,0.98,0,0,12.76,0,0.98,7.85,0,0,0.98,1.96,6.87,0,0.98,59.87,0,0,0,0,0,0,0,0,0,16.69,0,0,1.96,0,0
 72-82,0,0,0,0,0,37.3,0,0.98,12.76,0,0,0,0.98,9.82,0,0,105.04,0,0,0,0,0,0,0,0,0,9.82,0,0,1.96,0,0
 84-94,0,0,3.19,0,0,24.43,0,0,8.5,1.06,2.12,0,1.06,8.5,1.06,1.06,50.98,0,0,2.12,0,0,0,0,0,0,4.25,0,1.06,0,0,0
 96-106,1.09,0,3.28,0,1.09,32.79,1.09,0,13.11,0,1.09,3.28,1.09,9.84,0,0,63.39,0,1.09,0,0,0,1.09,0,0,0,3.28,1.09,0,3.28,0,0
108-118,0,0,0.77,0,0,19.15,0,0,10.72,0,0,1.53,1.53,8.43,0,2.3,67.4,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0.77,1.53
120,0,0,1.96,0,1.96,23.52,0,0,5.88,0,0,0,0,5.88,0,0,72.51,0,0,1.96,0,0,0,0,0,0,9.8,0,0,1.96,0,0
