stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,2,9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,32.01,0,0,0,0,0,0,0,10.67,0,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0.81,0,0.81,0,62.04,0,1.61,0,0,0,0,0,19.34,0,0
 48-58,0,0,0,0.57,0,10.33,0,0,0.57,0,0,0,1.15,1.15,0.57,112.47,0.57,2.87,0,0,0,0,0,20.08,0,0
 60-70,0,0,0,0,0,58.89,0.98,0,4.91,0,0,0,0,3.93,0,419.11,0,2.94,0,0,0.98,0,0,40.24,0,0
 72-82,0,1.96,0,0,0,27.49,0.98,0,2.94,0,0,0,0,4.91,0.98,154.12,0,0,0,0,0.98,0,0,11.78,0.98,0
 84-94,0,0,0,1.06,0,15.93,0,0,1.06,1.06,0,0,0,4.25,0,62.66,0,1.06,0,0,0,0,0,8.5,0,1.06
 96-106,0,0,0,1.09,0,10.93,1.09,1.09,1.09,0,0,0,0,1.09,2.19,36.06,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,9.19,0,0,0.77,0,0.77,0,0,5.36,2.3,52.09,0,1.53,0,0,0,0,0,2.3,0,0
120,0,1.96,0,1.96,1.96,13.72,1.96,0,1.96,0,0,0,0,3.92,0,119.55,0,1.96,1.96,0,0,0,0,1.96,0,0
