stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,18.4,2.63,0,0,7.89,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,3,0,1,6,1,0,0,1,0,1,1,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0.82,2.46,0
 36-46,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81,1.61
 48-58,0,0,0.57,0,0,0,0,0,0,0,1.15,0,0,1.72,0,1.72,0,0,0.57,0,0,1.15,0
 60-70,0,0,1.96,0,0,0.98,0.98,0,0,0,3.93,0,0,2.94,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,14.72,1.96,0.98,0,0,0,0.98,0,2.94,0,0,2.94,0,3.93,0,0,6.87,0,0,0.98,0.98
 84-94,0,0,5.31,0,0,1.06,0,0,0,2.12,1.06,0,1.06,2.12,0,3.19,0,0,5.31,0,0,1.06,0
 96-106,0,0,7.65,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0,1.09,0,0,7.65,0,0,0,0
108-118,0,0.77,2.3,0.77,0,1.53,0,0,0,1.53,0.77,0.77,0,3.06,0,0,0,0,1.53,0,0,0,0.77
120,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
