stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,2332.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0
  5-6,12.26,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,3.28,52.53,0.82,0,0,0,0,0,0,0,0,0,0,8.21,0,0,1.64,9.03,1.64,0,0,0,2.46,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,2.42,20.95,0,0,0,0,0.81,0,0,0,0,0,0.81,33.84,0,0.81,12.89,8.06,0.81,0,0,0,0.81,0,0,1.61,0,0,0,0,0.81
 48-58,0,0,0,1.72,48.77,3.44,0,1.15,2.3,1.15,0,0,0,0,0,0,104.43,0,1.72,28.12,14.92,2.3,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,78.52,6.87,0,0,4.91,1.96,0.98,0,0,0,0,0,255.2,0,9.82,47.11,9.82,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,0
 72-82,0,0,0,3.93,187.5,12.76,0,0,3.93,2.94,0,0.98,0,0,0,0,384.81,0.98,16.69,58.9,22.58,0,0,0,0,0.98,0.98,0,1.96,0.98,11.78,3.93,18.65,0.98
 84-94,0,0,0,12.74,159.31,23.36,1.06,0,4.25,2.12,0,0,0,0,1.06,0,215.59,0,13.81,26.55,8.5,1.06,1.06,0,1.06,2.12,0,0,0,0,5.31,1.06,13.81,0
 96-106,0,0,0,7.65,154.09,14.21,0,0,4.37,1.09,2.19,0,0,0,0,0,221.85,0,6.56,22.95,22.95,0,0,0,1.09,1.09,1.09,0,0,0,2.19,0,13.11,0
108-118,0,0,0,4.6,117.96,5.36,0,0,4.6,3.06,3.06,0,0,0.77,0.77,0,209.11,0.77,7.66,25.28,16.09,0,0,0,0.77,1.53,0,0,0,0.77,1.53,1.53,7.66,0.77
120,0,0,0,5.88,129.35,5.88,1.96,0,1.96,0,0,0,1.96,0,1.96,0,154.82,0,13.72,13.72,11.76,1.96,1.96,0,1.96,0,0,0,0,0,3.92,0,13.72,0
