stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,12.59,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34,0,0,0,0
 24-34,0,3.28,0,0,0,0,0,0.82,4.1,0,0,0.82,1.64,4.1,0.82,0,214.24,0.82,2.46,0,0
 36-46,0,0.81,0.81,0,1.61,0,0,0,2.42,0,0,0,0.81,3.22,0.81,0,141.8,0,0.81,0,0
 48-58,0,9.75,1.72,0,1.15,0,0.57,0,0.57,0.57,0,0,1.15,1.72,1.15,0,59.68,0,0,0,0
 60-70,0,20.61,0,0,2.94,0,3.93,0,2.94,0,0,0,1.96,1.96,0.98,0,91.28,0,0,0.98,0
 72-82,0,50.06,0.98,0,1.96,0,1.96,0,3.93,0,0,0,0.98,0.98,0.98,0,46.14,0,0,0.98,0
 84-94,1.06,106.2,2.12,0,3.19,1.06,18.05,0,6.37,0,0,1.06,4.25,1.06,2.12,0,95.58,0,0,7.43,1.06
 96-106,0,134.42,0,0,0,0,10.93,0,8.74,1.09,0,0,2.19,5.46,1.09,0,36.06,0,0,0,0
108-118,0,108.77,0.77,0.77,0.77,0,14.55,0,7.66,0,0,0.77,0,3.06,2.3,0,45.96,0,0,4.6,0
120,0,146.98,1.96,0,3.92,0,23.52,0,19.6,0,1.96,0,0,9.8,0,0,182.26,0,0,5.88,0
