stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,16,0,0,0,0,0
 24-34,0,1.64,0,1.64,0.82,4.93,0,0,0,0,0,0,0,4.1,0,0,3.28,0,0,0,169.1,2.46,0.82,0,0,0,0,0,22.16,0,0,4.93,0,0
 36-46,0,0,0,1.61,0,13.7,0,0,0,3.22,0.81,0,0,4.83,0,0,4.83,0,0,1.61,446.34,1.61,0,0,0,1.61,0,0,44.31,0,0,4.03,0,0
 48-58,0,0,0,2.87,0,68.86,0.57,0.57,0.57,13.77,0,0,0,5.16,0,0,10.9,0,0.57,1.72,609.38,0,0.57,0,0,0.57,0.57,0,59.1,0,0,1.15,0,1.15
 60-70,0,0,0,3.93,0,144.28,0.98,0,0,11.78,2.94,0.98,0,6.87,0,3.93,21.59,0,0,0.98,698.84,0.98,0.98,0,0,0.98,0,0,61.84,0.98,0,4.91,0,0
 72-82,0,0,0,4.91,0.98,167.86,0,0,0.98,14.72,2.94,0.98,0,18.65,0,0.98,37.3,0.98,0,0,623.36,5.89,0,0,0,1.96,0.98,0.98,44.17,0,2.94,14.72,1.96,0
 84-94,0,0,0,13.81,3.19,100.89,0,1.06,0,11.68,1.06,1.06,1.06,11.68,1.06,0,24.43,0,1.06,4.25,245.33,0,0,0,1.06,0,0,1.06,23.36,1.06,1.06,4.25,2.12,0
 96-106,0,1.09,2.19,9.84,1.09,79.78,1.09,1.09,1.09,18.58,4.37,1.09,0,20.76,1.09,2.19,28.41,0,1.09,3.28,249.17,0,0,0,0,0,0,0,9.84,0,3.28,7.65,1.09,0
108-118,0,0,0,6.89,1.53,77.36,0,1.53,0.77,12.26,4.6,0.77,1.53,14.55,0,0.77,16.09,0,0.77,1.53,246.64,0.77,1.53,0,0,0,0,0,4.6,1.53,2.3,2.3,1.53,0
120,0,1.96,0,9.8,1.96,88.19,0,0,0,5.88,5.88,0,0,3.92,1.96,0,15.68,0,0,1.96,248.89,1.96,0,0,0,0,0,0,7.84,0,1.96,5.88,0,0
