stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,86.75,5.26,0,0,57.83,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,100.7,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,1,0,3,1,0,2,0,0,5,1,0,0,0,0,0,0,0,0,2,81,6,1,0,27,0,8,0,3,112,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,5.75,0,0,1.64,0,0,0,0,0,0,0.82,0.82,0,0,183.05,4.93,1.64,0,0,0,0,0,2.46,92.76,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,18.53,0,0,8.86,0,0,0,0,0,0,0.81,0,0,0,344.02,2.42,1.61,0,0,0,0,0,0,141.8,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,63.69,0,1.15,10.33,0,0,0,0,0,0.57,4.59,0,0,1.72,309.28,0.57,2.87,0,0,0.57,0,0,0,79.19,0,0,0,0
 60-70,0,0,1.96,0,0,0,0,91.28,0,0.98,13.74,0,0,0,0,0,0,7.85,0,0,0,414.2,0,0,0,0,0,0,0,0,59.87,0,0,0.98,0
 72-82,0,0,3.93,0,2.94,0,0,82.46,0,0.98,22.58,0,0,0,0,0,0,16.69,0,0,1.96,396.59,0,1.96,0,0,0.98,0,0,0,40.25,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,63.72,1.06,1.06,12.74,0,0,0,0,1.06,0,14.87,0,1.06,0,191.17,0,0,0,0,0,0,0,0,23.36,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,0,48.09,0,4.37,9.84,0,0,0,1.09,0,0,7.65,0,0,1.09,179.23,0,1.09,1.09,0,1.09,0,0,0,19.67,0,0,2.19,1.09
108-118,0,0,0,0,1.53,0,0.77,46.72,0,1.53,13.02,0.77,0,0,0,0,0,10.72,0,0.77,0,216,0,0.77,0,0,0,0,0,0,10.72,0.77,0,4.6,0.77
120,0,0,0,0,1.96,0,0,48.99,0,0,5.88,0,0,3.92,0,0,1.96,7.84,0,0,0,225.38,0,1.96,1.96,0,0,0,1.96,0,5.88,0,0,1.96,0
