stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,1,1,0,30,1
 24-34,0.82,0.82,1.64,0,0,0.82,0,0,1.64,0,0,4.1,27.91,0,0.82,0,0.82,0.82,47.61,3.28
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,9.67,0.81,0,0,0,0,33.84,0
 48-58,0.57,0,1.72,0,0.57,0,0,0.57,0,1.72,0,0.57,10.33,0,0,0,0,0,17.79,0
 60-70,0,0,0.98,0,1.96,0,0,0,0,0,0,0,5.89,0,0,0,0,0,19.63,0
 72-82,0,0,0,0,0.98,0,0,0,0,1.96,0,0,6.87,0,0,0,0,0,9.82,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,7.43,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,2.19,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,0,0,0,3.83,0,3.06,0,0.77,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0
