stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,2.46,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,15.6,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0,7.25,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,22.38,0,0,0,0,0.57,11.48,0,0,0,0,0.57,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,175.69,0,0,0,1.96,0,5.89,0,0,0,0,0,1.96,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,1.96,0,5.89,0.98,0,538.93,0,0,0,6.87,0.98,1.96,0,0,0,1.96,0,15.71,0,0.98,0.98,70.68,0,0.98,0,0,0,0,0.98,0,0,0,0,2.94,0.98,0.98,0,0.98,0
 84-94,0,0,0,0,5.31,1.06,0,511.9,1.06,0,0,6.37,3.19,1.06,0,0,0,1.06,0,5.31,0,0,0,30.8,0,0,0,0,0,8.5,0,0,0,0,0,1.06,2.12,0,2.12,0,1.06
 96-106,0,0,1.09,0,28.41,8.74,1.09,723.46,1.09,3.28,0,12.02,6.56,1.09,3.28,8.74,0,2.19,5.46,25.14,0,1.09,6.56,80.87,1.09,3.28,3.28,0,1.09,15.3,0,0,0,1.09,0,2.19,1.09,3.28,6.56,1.09,0
108-118,0,0,2.3,0,12.26,3.83,2.3,605.11,0.77,1.53,5.36,13.02,6.13,0,0,3.06,1.53,0,2.3,34.47,0,0,6.89,104.94,1.53,2.3,2.3,0,0.77,9.96,0,0,0,1.53,0,3.06,0.77,1.53,4.6,0.77,3.83
120,0,0,1.96,0,45.08,9.8,0,944.62,1.96,17.64,1.96,21.56,11.76,0,0,7.84,5.88,1.96,3.92,68.59,1.96,0,5.88,199.9,3.92,1.96,3.92,0,3.92,21.56,0,0,3.92,0,0,7.84,3.92,1.96,3.92,3.92,0
