stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,2.46,12.31,0,0.82,9.03,0,0,0.82,0,0.82,13.13,0,0.82,12.31,8.21,4.1,0.82,0,0,101.79,0,18.88,0,0.82,0,0,0,0,0
 36-46,0,0.81,0.81,0,0,3.22,0,0.81,0,0.81,7.25,11.28,0,2.42,8.86,0,0,2.42,0,1.61,23.36,0,0,6.45,1.61,3.22,0,0,0,159.52,0,32.23,0,2.42,0,0,0,0,0
 48-58,0,0,5.16,0,0,8.61,0.57,1.72,0,1.15,30.41,33.28,0,6.31,2.87,0,0,2.3,1.15,3.44,25.25,0,0.57,24.67,0,1.15,0,0,0,302.4,0,30.99,0,3.44,0,0,1.15,0,0
 60-70,6.87,0,9.82,0,0,6.87,0,2.94,0.98,1.96,82.45,10.8,0,13.74,9.82,0,0.98,8.83,0,1.96,32.39,0,0.98,17.67,0.98,0.98,0.98,0,0,366.11,0,43.19,0,3.93,0,0.98,0.98,0,0
 72-82,35.34,0,44.17,0,0.98,28.47,0,5.89,0,6.87,260.14,11.78,0,30.43,25.52,1.96,0,40.25,0,12.76,60.86,0,2.94,81.48,0,1.96,0,0,0.98,690.11,0.98,70.68,0,1.96,0,1.96,1.96,0.98,0.98
 84-94,31.86,2.12,88.15,5.31,0,14.87,0,24.43,0,4.25,469.42,10.62,0,44.61,38.23,0,1.06,246.39,1.06,13.81,70.09,1.06,1.06,53.1,0,1.06,1.06,0,0,1772.54,0,155.06,0,1.06,1.06,0,0,0,1.06
 96-106,40.44,3.28,254.63,13.11,1.09,41.53,2.19,56.83,2.19,14.21,660.08,1.09,2.19,69.94,97.26,0,1.09,325.67,0,26.23,109.28,3.28,4.37,183.6,0,1.09,1.09,0,2.19,2563.82,1.09,163.93,0,5.46,5.46,0,5.46,7.65,1.09
108-118,26.04,8.43,296.43,4.6,1.53,29.11,3.06,146.3,1.53,9.19,733.79,0,0.77,79.66,139.41,3.06,0.77,690.13,0.77,24.51,98.81,1.53,4.6,147.83,0,3.83,1.53,0,0.77,3002.57,0,144.77,0,1.53,11.49,0,0.77,0,2.3
120,17.64,1.96,239.09,3.92,5.88,11.76,0,90.15,0,5.88,548.74,0,0,135.23,56.83,0,3.92,286.13,0,19.6,78.39,0,9.8,129.35,0,1.96,1.96,0,0,1759.89,0,103.87,1.96,1.96,9.8,0,1.96,0,0
