stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,1.64,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0.81,0.81,0,1.61,0,0,3.22,0,0,1.61,0,0.81
 48-58,0,0,0,0,0,1.15,0,0.57,0.57,0,1.15,0,0,0,0,0,1.72,4.02,0,1.15,5.16,0,0,0,0,0.57,0,0,1.72,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0,0,1.96,0,1.96,3.93,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,3.93,0,1.96,3.93,0.98,2.94,0,0,0,2.94,0,0,11.78,0.98,3.93,12.76,0,1.96,0.98,0,0.98,0,0,0.98,0,1.96,7.85,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,2.12,0,0,2.12,0,2.12,0,0,6.37,0,1.06,3.19,0,0,0,0,0,0,0,1.06,0,1.06,3.19,0,0
 96-106,0,0,0,0,0,6.56,1.09,0,1.09,1.09,0,1.09,4.37,1.09,1.09,0,0,4.37,0,1.09,5.46,0,1.09,0,0,2.19,0,0,1.09,0,2.19,2.19,1.09,0
108-118,0,0,0,1.53,0,0,0,0,0,0.77,0,0,3.06,0,2.3,0.77,0.77,7.66,1.53,1.53,3.06,0,0,0.77,0,0.77,0,0,1.53,0.77,0,2.3,0.77,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,11.76,1.96,0,0,0,7.84,0,1.96,5.88,1.96,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0
