stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,102,24,8,0,6,0,0,1,1,3,0,0,2,0,0,1,18,0,0,12,54,2,1,0,0,3,7,0,2,17,12,0,0,43,0,6
 24-34,0,0,0,74.7,6.57,22.16,0,47.61,6.57,0.82,0,0,10.67,1.64,0.82,4.1,4.93,0.82,5.75,91.12,0,1.64,38.58,115.74,0,0,2.46,0,13.95,0,0,0,1.64,21.34,0,0,186.33,0,16.42
 36-46,0,0,0,41.89,0.81,25.78,1.61,48.34,16.11,8.06,0,0,5.64,0.81,0.81,24.98,1.61,0,9.67,116.02,0.81,1.61,29,96.68,1.61,1.61,2.42,0.81,8.06,0,0,0,0,16.11,0,0,146.63,0,20.14
 48-58,0.57,0,0,17.21,0.57,31.56,4.59,37.3,25.25,16.64,1.15,0.57,12.62,0.57,0,36.15,5.16,0,10.33,177.88,0,2.3,25.82,79.76,1.72,0.57,4.59,1.15,11.48,0,0,1.15,0,14.92,0,1.72,135.42,0,20.66
 60-70,0,0,0,47.11,1.96,27.48,3.93,58.89,26.5,27.48,0.98,0,8.83,0.98,1.96,75.58,2.94,1.96,6.87,248.33,0,4.91,19.63,68.71,1.96,1.96,0,2.94,13.74,0,0,1.96,0,8.83,0.98,2.94,133.49,0,24.54
 72-82,0,0,0.98,28.47,1.96,42.21,1.96,63.81,43.19,53.99,2.94,0,15.71,0.98,2.94,59.88,6.87,0,5.89,438.8,0,5.89,22.58,84.42,2.94,0,3.93,1.96,13.74,0,1.96,0,0,1.96,0.98,6.87,230.69,5.89,20.61
 84-94,0,0,0,49.92,0,44.61,4.25,109.39,38.23,32.92,3.19,0,12.74,4.25,4.25,95.58,3.19,2.12,13.81,260.2,0,10.62,18.05,50.98,2.12,3.19,5.31,2.12,32.92,0,2.12,2.12,0,3.19,1.06,6.37,198.6,3.19,21.24
 96-106,0,3.28,0,48.09,4.37,19.67,1.09,101.63,22.95,31.69,2.19,0,24.04,7.65,2.19,107.1,1.09,3.28,2.19,210.92,0,9.84,13.11,64.48,2.19,4.37,6.56,1.09,39.34,0,3.28,3.28,0,4.37,1.09,3.28,210.92,5.46,16.39
108-118,0,0,0,50.55,1.53,31.4,3.83,129.45,29.87,29.87,3.06,0,6.13,3.83,3.83,140.17,2.3,3.83,11.49,177.7,0.77,1.53,10.72,50.55,0.77,0.77,3.83,7.66,18.38,0,1.53,6.13,0,1.53,0,4.6,191.49,5.36,29.11
120,0,1.96,0,68.59,1.96,23.52,5.88,94.07,17.64,43.12,3.92,0,15.68,5.88,3.92,96.03,0,0,7.84,160.7,3.92,7.84,19.6,45.08,9.8,1.96,3.92,1.96,21.56,0,0,0,0,1.96,0,1.96,176.38,1.96,9.8
