stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,9,0,0,2,0,1,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,18.06,0.82,0,0.82,0,29.55,0,0.82,4.1,0,0,0,0
 36-46,0,0,3.22,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,29,0,0,1.61,0,0,0,0
 48-58,0,0,2.3,0.57,2.87,0,1.15,0,0,0,0.57,0.57,0,1.72,0,0,0.57,15.49,0,1.15,0,0,14.35,0,0,4.59,0,0,0,0
 60-70,0,0,2.94,0,23.56,0,2.94,0,0.98,0,0,0,0,1.96,0.98,0,0,59.87,0,0.98,0,0,18.65,0,0,3.93,0,0,0.98,0.98
 72-82,0,0,6.87,0,4.91,0,2.94,0.98,0,0,0,0.98,0,0,0,0,0.98,8.83,0,0.98,0,0,18.65,0,0,0,0.98,0,0,0
 84-94,0,0,15.93,0,1.06,2.12,0,1.06,0,0,4.25,0,0,1.06,1.06,1.06,0,8.5,0,0,0,0,28.68,0,0,2.12,1.06,0,0,0
 96-106,0,1.09,25.14,0,2.19,0,3.28,4.37,0,1.09,1.09,0,0,2.19,0,0,0,5.46,0,2.19,0,0,33.88,0,0,1.09,1.09,0,1.09,0
108-118,0,0,17.62,0,3.06,5.36,0.77,9.19,0,0,1.53,0,0.77,2.3,0,0,0,7.66,0,0,0,0,27.57,0,0,0,1.53,0,0,0
120,0,0,9.8,0,1.96,0,0,9.8,0,0,0,1.96,0,1.96,0,0,0,13.72,0,0,0,0,25.48,0,0,0,5.88,0,3.92,0
