stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,3.28,0,0,0.82,0,57.46,0,0.82,0,0
 36-46,0.81,0,0.81,0,0,0,0,0.81,0,0,3.22,0.81,64.45,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,2.3,0,0.57,1.15,0,36.15,0,0.57,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0.98,0,30.43,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,39.27,0,0,0,0
 84-94,0,4.25,2.12,0,0,0,1.06,0,0,0,0,0,149.75,0,0,0,0
 96-106,0,6.56,2.19,1.09,0,1.09,6.56,3.28,0,0,1.09,0,142.07,0,0,0,0
108-118,0.77,5.36,3.83,0.77,0,0,2.3,0,1.53,0,1.53,0,152.43,0,0,0.77,0
120,0,1.96,11.76,0,0,0,0,0,0,0,1.96,1.96,158.74,1.96,0,0,0
