stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,1,0,0,0,0,0,4,13,0,0,0,1,0,0,2,5,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0,17.24,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0,1.61,0,16.11,0,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0,2.87,0.57,5.74,0,0.57,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0.98,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,3.93,0.98,0,2.94,0,0,0,0,0,0,15.71,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,4.25,1.06,0,1.06,0,0,1.06,1.06,0,0,5.31,0,1.06,0,0,1.06,0,0,3.19,0,0,0
 96-106,0,0,0,0,1.09,3.28,0,0,1.09,0,0,0,0,1.09,0,5.46,0,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,1.53,0,1.53,0,0,1.53,0,0.77,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,0
