stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0
 24-34,0,0,0,0.82,0,12.31,0,0,1.64,0,0,0,0,0,1.64,0,0,0.82,86.19,0,2.46,0.82,0,0,0,0,0,0,0,0.82,50.07,0,0,0.82,0,0
 36-46,0,0,0,0,0,12.09,0,0,0,9.67,0,0,0,0,6.45,0,0,1.61,277.15,0.81,0,0,0,0,0,0,0,0.81,0,0,95.87,0,0,0,0,0
 48-58,0,0,0,2.3,0,55.66,0,0,0.57,30.41,0,0.57,0.57,0,10.9,0,0,0.57,414.29,0,0.57,0,0,0,0.57,0,0,1.15,0,0,103.86,0,0,0,0,0
 60-70,0,0,0,0,0,164.9,0,0.98,0,116.8,0,0,0,0,18.65,0,0.98,0.98,841.16,0,0,0.98,0,0,2.94,0,0,0.98,0.98,0,123.67,0,0,0.98,0,0.98
 72-82,0,0,0,3.93,1.96,315.11,0.98,0,0.98,186.52,0,0,0,0.98,35.34,0.98,0,1.96,964.97,0,0,0.98,0,0,1.96,0,0,0,0.98,0,90.31,0.98,0.98,5.89,0,1.96
 84-94,0,0,0,11.68,1.06,203.91,0,1.06,0,110.45,0,1.06,1.06,1.06,30.8,0,0,1.06,477.92,0,0,1.06,0,0,7.43,0,0,3.19,0,0,41.42,3.19,1.06,5.31,1.06,0
 96-106,0,0,0,15.3,6.56,157.37,0,0,2.19,90.71,1.09,0,0,0,24.04,1.09,0,0,412,1.09,0,2.19,0,0,2.19,1.09,0,1.09,1.09,0,21.86,0,2.19,2.19,0,0
108-118,0,0,1.53,7.66,1.53,154.72,0.77,0,2.3,99.58,0,0,0,0,22.98,0,0.77,0.77,496.34,0.77,1.53,0.77,0,0,1.53,0,0,0.77,0,0,19.92,0.77,0,6.13,0.77,0
120,1.96,0,0,19.6,0,154.82,0,1.96,0,109.75,1.96,9.8,0,0,27.44,0,0,3.92,803.51,0,0,1.96,0,1.96,1.96,0,0,0,0,0,48.99,0,0,3.92,0,0
