stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,1,4,1,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,55,0,0,0,0,0,0,3,27,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0.82,10.67,0,0.82,0.82,0,0,1.64,0.82,0,0,1.64,0,4.93,0,2.46,239.69,0,9.03,1.64,0,0,0.82,0,51.71,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,42.7,0,0,5.64,0,0,0.81,0.81,0,0,0,1.61,5.64,0,0.81,390.75,0,8.06,0.81,0,0,0,0,87.01,0,0,0,0,1.61
 48-58,0,0,0,0,1.72,0.57,71.15,0,0.57,9.75,0,0.57,0.57,0.57,1.72,0,0,0,10.33,0.57,0.57,341.99,0,1.72,0.57,0,0,1.15,0,48.2,0,0,1.72,0,0.57
 60-70,0,0,0,0,2.94,0,136.43,0,0,11.78,0,0.98,0.98,0,4.91,0,0,0,17.67,0.98,2.94,454.44,0,7.85,0,0,0,0.98,0.98,47.11,0,0.98,0.98,0,0
 72-82,0,0,2.94,0,4.91,0.98,128.6,0.98,2.94,9.82,0,0,5.89,0,1.96,0.98,0,0,17.67,0,0,279.77,0,2.94,1.96,0,0,2.94,0,21.6,0,0,2.94,0.98,0
 84-94,0,0,2.12,0,4.25,0,67.97,1.06,0,5.31,1.06,0,4.25,1.06,6.37,1.06,0,1.06,13.81,0,0,142.31,0,2.12,1.06,0,0,4.25,0,12.74,2.12,0,1.06,0,0
 96-106,0,0,1.09,0,12.02,1.09,37.16,0,0,12.02,2.19,0,10.93,3.28,3.28,2.19,0,0,12.02,0,0,92.89,0,5.46,1.09,0,1.09,2.19,0,5.46,1.09,0,1.09,0,0
108-118,0,0,0.77,0,9.96,1.53,32.17,0,0.77,7.66,1.53,0.77,3.83,1.53,7.66,1.53,0.77,0,14.55,0,0.77,103.41,0,3.83,3.06,0,0,4.6,0,2.3,1.53,1.53,2.3,1.53,0
120,0,0,1.96,0,11.76,0,43.12,3.92,1.96,11.76,1.96,0,7.84,1.96,5.88,1.96,1.96,0,3.92,1.96,3.92,129.35,0,3.92,1.96,0,0,7.84,0,3.92,1.96,0,3.92,0,0
