stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,34.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20,1,0,0,0,2,1,0,0,24,0,0,0,2,3,0,1,4,1,0,0,14,1,34,6,7,1,0,0,0
 24-34,0,0,0,0,15.6,0,0.82,4.1,0,0,0,0.82,0,91.12,0,0,0,1.64,5.75,0,0,9.03,0,0,0,0,0.82,0,9.03,0.82,1.64,0,0,0
 36-46,0,0,0,0,15.31,0,0,1.61,0,0,1.61,0,0,24.17,0,0,0,0,5.64,0,0,31.42,0,0.81,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0,15.49,0.57,1.72,13.77,0,0.57,2.3,0,0,12.05,0,0,0.57,1.15,3.44,0.57,0,13.2,0,4.59,0,0,0.57,0,4.02,0,0.57,0,0,0
 60-70,0,0,0,0,25.52,0,0,16.69,5.89,0,0.98,0,0,13.74,3.93,0.98,0,0,6.87,0,0,14.72,0,7.85,0,0,0,0,5.89,0,0,0,0,0.98
 72-82,0,0,0.98,0,30.43,0,7.85,18.65,7.85,0,0,0,0,35.34,1.96,0.98,0.98,0.98,12.76,0,0,12.76,0,4.91,0,0,0,0,4.91,0,0,6.87,0.98,0
 84-94,0,0,0,0,76.47,1.06,4.25,39.3,4.25,3.19,2.12,0,0,58.41,4.25,0,0,1.06,7.43,0,0,13.81,0,14.87,0,0,0,0,16.99,0,0,42.48,0,0
 96-106,0,0,1.09,0,69.94,1.09,4.37,43.71,8.74,6.56,0,0,0,93.98,7.65,2.19,3.28,2.19,10.93,0,0,12.02,0,21.86,1.09,0,4.37,0,18.58,0,0,54.64,0,0
108-118,0,0,0,0.77,80.43,0,1.53,47.49,6.13,4.6,0,0,4.6,87.32,11.49,1.53,7.66,5.36,10.72,0,1.53,13.02,0.77,13.02,0,0,2.3,0,16.09,0,0,49.79,0,0.77
120,0,0,0,0,74.47,0,0,25.48,3.92,3.92,0,0,1.96,37.24,3.92,0,5.88,1.96,9.8,0,0,11.76,0,9.8,0,0,0,0,17.64,0,0,15.68,0,0
