stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,10,2,0,4,1,0,1,1,1,0,0,0,0,0,0,0,5,0,0,1,41,0,0,0,0,0,2,3,1,1,5,9,0,0,0,0,1
 24-34,0,0,0,0.82,7.39,0.82,0,14.78,0,0,0.82,0.82,0,0,0.82,0.82,0,0,0,0,14.78,0,0,3.28,102.61,0,3.28,0,0,0,13.95,0,0.82,0,2.46,30.37,0,0,3.28,0,0
 36-46,0,0,0,0,4.03,0,0,21.75,0.81,0.81,10.47,0,0,1.61,0.81,0,0,0.81,0,0.81,19.34,0,0,6.45,86.21,0,0.81,0.81,0,0,6.45,0,0,0,0,20.14,0,0,3.22,0,0
 48-58,0,0,0,0,4.59,0.57,0,32.71,1.15,0.57,15.49,1.15,0,0,0,0.57,0,1.15,0,0,20.66,1.15,0,3.44,51.07,0,1.15,1.15,0,0,4.02,0,0,0,0,14.92,0,0,1.15,0,1.15
 60-70,0,0,0,0,3.93,0,0,50.06,0,0.98,21.59,0,0,0,0,0.98,0,0.98,0.98,0,16.69,0,0.98,0,40.24,0.98,0.98,0,0,0,8.83,0,0,0,0,8.83,0,1.96,0.98,0,0.98
 72-82,0,0,5.89,0,4.91,0.98,0,74.61,0,0,17.67,1.96,0,0,0.98,1.96,0,0,0,0,43.19,0,0,5.89,34.36,0.98,0.98,0,0,0.98,6.87,0,0,0,0,6.87,0,0,3.93,0.98,3.93
 84-94,0,0,1.06,0,4.25,0,0,54.16,1.06,1.06,10.62,4.25,0,0,5.31,1.06,2.12,0,1.06,0,22.3,1.06,0,2.12,9.56,0,1.06,1.06,0,0,13.81,0,1.06,1.06,0,1.06,0,1.06,4.25,1.06,0
 96-106,0,0,1.09,0,7.65,0,1.09,39.34,2.19,1.09,10.93,5.46,0,0,7.65,4.37,1.09,2.19,0,0,21.86,1.09,0,1.09,24.04,1.09,1.09,0,0,0,10.93,0,0,0,0,4.37,0,0,4.37,1.09,0
108-118,0,0,2.3,0,8.43,1.53,0.77,29.11,0,1.53,7.66,7.66,0,0,8.43,1.53,3.06,0.77,0,0,17.62,0.77,0,2.3,31.4,0,0.77,2.3,0,0,14.55,0,0.77,0.77,0,0.77,0.77,0.77,3.06,0.77,3.06
120,0,0,0,0,7.84,1.96,0,29.4,1.96,0,9.8,7.84,0,0,9.8,0,1.96,0,0,0,9.8,0,0,3.92,27.44,0,3.92,3.92,0,1.96,0,0,1.96,0,0,1.96,0,1.96,1.96,0,0
