stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0,5.75,0,3.28,4.1,0.82,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,2.42,0,0,0.81,0.81,0.81,2.42,0,0,0,0,0,0,7.25,0,2.42,5.64,0,0.81,0,4.03,0,0.81,0,0,0.81,0,0
 48-58,0,0.57,0,0,1.72,0,0,0.57,0,0.57,0.57,0,0,0,9.18,0.57,1.72,2.87,0,0,0,1.15,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0,4.91,1.96,1.96,2.94,0.98,0,0,0.98,0,0.98,0,0,3.93,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0,0,0,0.98,7.85,0,0,1.96,0,0,0,0,0,0,1.96,0.98,0.98,0.98,0.98
 84-94,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,1.09,0,0,1.09,0,0,2.19,2.19,1.09,0
108-118,0,0.77,0.77,0,0.77,0,0,0.77,0,0,0,0,0,0,4.6,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
