stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,21.03,0,18.4,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,34.62,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
