stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,1,0,0,0,0,1,9,1,0,0,0,0
 24-34,0,0,0.82,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0.82,0,35.3,0,0,0,0,0,0,0,61.56,4.93,0,0,4.93,0
 36-46,0,0,0,0,0,10.47,0,0,1.61,0,0,0.81,0,0,0,0,0.81,0.81,18.53,0,1.61,0,0,1.61,0,0,24.98,3.22,0,0,3.22,0
 48-58,0,0,0,0.57,0.57,14.35,0,0,1.72,0,0,0.57,0.57,0,0.57,0,0.57,0,13.2,0,0.57,0,0,0.57,0,0,23.53,4.02,0,0,2.3,0
 60-70,0,0,0,0,0,80.48,0,0,0,2.94,0,0,0,0.98,0,0,1.96,0,6.87,0,0.98,0,0,0,0,0,29.45,0,0,0,0.98,0
 72-82,0,0,0,0.98,3.93,157.07,0,0.98,3.93,17.67,0,1.96,0.98,0,0.98,0.98,4.91,0,10.8,0,0.98,0.98,0,2.94,0,0,46.14,0,0,0.98,4.91,0
 84-94,0,0,1.06,4.25,0,147.62,0,0,3.19,40.36,0,1.06,0,0,0,1.06,1.06,0,18.05,0,5.31,1.06,0,1.06,0,0,83.9,1.06,0,0,4.25,0
 96-106,0,0,1.09,4.37,1.09,159.56,1.09,0,0,56.83,0,2.19,1.09,1.09,1.09,0,3.28,0,20.76,1.09,3.28,1.09,0,2.19,1.09,0,92.89,0,0,0,3.28,1.09
108-118,0,0,0,2.3,0,119.49,0,0,3.06,72.77,0,0,0,0.77,1.53,0.77,6.89,0.77,13.79,0,3.06,0,0,0.77,0,0,65.87,0,0.77,0.77,2.3,0
120,0,0,0,0,0,133.27,0,0,1.96,82.31,1.96,5.88,1.96,0,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0,52.91,0,0,0,5.88,0
