stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,27.09,0,0.82,0,0.82,0,0,3.28
 36-46,0,0,0,0,0.81,0.81,1.61,0,1.61,0,0,0,0,0,33.03,0,0,0,0,0.81,0,4.03
 48-58,0,0,0,0,1.15,0,1.72,0,0.57,0,0,1.15,0,0.57,46.48,0,0,0,0,4.59,0,2.87
 60-70,0,0,0,0,6.87,0,0.98,0,0.98,0.98,0.98,0,0.98,0,62.82,0,0,0,0,0.98,0,0.98
 72-82,0,0.98,0,0.98,7.85,0,0.98,0,0,0,0,3.93,0,0,53.99,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,5.31,0,4.25,0,0,0,0,1.06,0,0,45.67,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,0,0,6.56,0,0,0,0,0,0,1.09,0,1.09,46.99,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0,1.53,0,0,0,0,0.77,0,0,52.09,0,0,0,0,0.77,0,0
120,0,0,0,1.96,3.92,0,1.96,0,0,0,0,1.96,0,0,29.4,0,0,0,0,0,0,0
