stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,2.46,0,0,11.49,0,0.82,0,0,0,0,0.82,2.46,0,0,0,0
 36-46,0,0,3.22,0.81,0.81,0,0,4.83,0,2.42,20.14,0,0,0,0,0,0.81,0,5.64,0,0,0.81,0
 48-58,0,1.15,1.15,0,1.15,0,0,5.74,0,1.72,12.62,0,1.15,0,0.57,0,0,0,4.59,0,0.57,0,0
 60-70,0,0,1.96,0,1.96,0,0.98,5.89,0,0.98,17.67,0.98,0.98,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,1.96,2.94,0,1.96,0,0,7.85,0,0.98,17.67,0,0,0,0,0,0,0,1.96,0.98,0.98,0.98,0.98
 84-94,0,3.19,4.25,1.06,1.06,0,0,11.68,1.06,2.12,9.56,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,6.56,0,1.09,6.56,0,0,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,2.3,6.13,0,0.77,0.77,0,8.43,0.77,0.77,8.43,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
