stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0
 24-34,0,8.21,0.82,132.98,0,0,0,0.82,0,0,0,0,0,27.09,0.82,0,38.58,0,0,139.55,18.88,0,0.82,4.1,0,0.82,2.46,0.82,0,0,1.64,0.82,0,0,0,0,0
 36-46,0,9.67,0,53.17,0,0,2.42,0.81,0,0,0.81,0,0,29,0,0,63.65,0,0.81,122.46,20.14,0,0.81,8.06,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,7.46,1.15,42.46,0.57,0,0,2.3,0,0,0.57,0,0,26.4,0,0,64.84,0,2.3,96.97,17.79,0,0.57,20.66,0.57,0,0,0,0,0,0,2.3,0,0,0,0,0.57
 60-70,0,23.56,2.94,48.09,0,0.98,0.98,2.94,0,0,0,2.94,0.98,34.35,0,0,51.04,0,5.89,72.63,20.61,0,0,25.52,0,0,0,0,0,0,0,2.94,0,0.98,0,2.94,0
 72-82,1.96,43.19,7.85,45.16,0,6.87,0,3.93,0.98,0,0,4.91,0.98,52.03,0,0,63.81,0.98,5.89,93.26,14.72,0,2.94,31.41,0,0,0,0,0,0,0,0.98,0,2.94,0,7.85,0.98
 84-94,3.19,75.4,7.43,74.34,0,15.93,0,2.12,1.06,0,3.19,8.5,2.12,72.22,0,1.06,58.41,0,3.19,80.71,11.68,0,1.06,41.42,0,1.06,0,0,0,0,0,1.06,0,5.31,1.06,5.31,0
 96-106,2.19,142.07,5.46,31.69,0,30.6,0,3.28,2.19,0,0,14.21,1.09,93.98,0,0,51.36,1.09,0,60.11,31.69,1.09,6.56,69.94,0,0,1.09,0,0,0,0,1.09,1.09,1.09,0,7.65,1.09
108-118,2.3,127.15,4.6,35.23,0,67.4,0,3.06,5.36,0,0.77,12.26,1.53,63.57,1.53,0,44.43,1.53,0.77,65.11,19.15,0.77,10.72,52.09,0,0,2.3,0,0.77,0,0,0,0.77,0.77,0.77,1.53,0
120,0,92.11,17.64,13.72,0,41.16,0,1.96,0,0,0,7.84,0,25.48,0,0,56.83,0,1.96,41.16,17.64,0,5.88,56.83,0,1.96,0,0,0,0,0,0,0,0,1.96,5.88,0
