stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,3808.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,2237.32,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,49.04,12.26,0,0,24.52,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,26.29,0,31.54,0,0,0,68.35,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,615.12,13.14,0,0,228.7,0,10.51,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,3.15,0,75.53,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,604.22,18.88,0,0,191.97,0,6.29,0,31.47,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,10,71,11,0,40,0,0,0,6,5,0,0,0,3,1,1,0,4,17,0,0,16,305,5,0,2,5,6,4,33,2,2,63,89,0,0,2,0,2
 24-34,0,0,0,3.28,12.31,0.82,0,69.77,0,0.82,2.46,5.75,1.64,0,0.82,3.28,4.1,1.64,0.82,1.64,6.57,40.22,0,0,13.13,368.56,4.93,2.46,3.28,0,8.21,0,0,1.64,1.64,22.16,100.14,0,0,4.1,0,17.24
 36-46,0,0,0,0,6.45,0,0,56.4,0.81,0.81,0.81,10.47,0,0,1.61,0,0,0.81,0.81,0,7.25,30.62,0,0.81,8.06,202.22,0,4.03,2.42,0,5.64,0,0,0,0.81,2.42,70.9,0,0,1.61,0,8.86
 48-58,0,0,0.57,0,3.44,0,0,100.99,2.3,1.15,4.02,29.84,0,0,0.57,0,1.15,0.57,1.15,0.57,6.89,40.17,0.57,2.3,9.75,172.72,0,1.72,1.72,0,7.46,0,0,0,0,0,43.61,0,0,3.44,0,12.05
 60-70,0,0,0,0,9.82,0,0,144.28,0.98,0,1.96,36.32,3.93,0,0,1.96,0,0.98,0.98,3.93,2.94,49.08,0.98,0,7.85,205.14,0.98,0,0,0,10.8,0,0,0,0,0,25.52,0.98,0.98,4.91,0,6.87
 72-82,0,0,1.96,0,4.91,0,0,117.8,0,0.98,0,40.25,4.91,0,0.98,8.83,0.98,1.96,2.94,1.96,3.93,66.75,0.98,0.98,11.78,175.72,0,2.94,0,0,2.94,0,0,1.96,0,0,13.74,2.94,3.93,6.87,0.98,3.93
 84-94,0,0,0,0,9.56,1.06,1.06,87.09,1.06,1.06,3.19,21.24,8.5,0,0,6.37,3.19,7.43,2.12,2.12,3.19,48.85,2.12,2.12,13.81,89.21,1.06,2.12,4.25,0,16.99,0,0,1.06,0,0,14.87,0,0,9.56,1.06,0
 96-106,0,0,0,0,5.46,0,0,60.11,1.09,0,3.28,21.86,8.74,0,0,8.74,0,1.09,1.09,3.28,8.74,24.04,1.09,1.09,8.74,78.68,2.19,4.37,0,0,7.65,0,0,1.09,0,0,3.28,0,0,7.65,0,2.19
108-118,0,0,0.77,0,7.66,1.53,2.3,42.89,0.77,0.77,3.06,25.28,3.06,0,0,4.6,3.06,2.3,0,3.83,3.83,26.81,0,0,9.96,94.21,0,0.77,0,0,11.49,0.77,0,0,0,0,0,1.53,0.77,4.6,0.77,3.06
120,0,0,0,0,3.92,5.88,0,31.36,0,0,0,15.68,5.88,0,0,0,1.96,1.96,0,0,0,21.56,0,0,25.48,105.83,0,0,0,0,3.92,0,0,3.92,0,0,3.92,0,0,0,0,0
