stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,50.35,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,2,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0.82,0,0,11.49,0,1.64,4.93,0,0.82,0,0,0,0,0.82,0.82,0.82,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,1.61,1.61,0,0,0,1.61,12.09,0,4.83,3.22,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0.57,0,0,1.15,1.15,0.57,1.15,0,0,0,0,0,14.35,0.57,2.87,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0.98,2.94,0.98,0.98,0,0,0.98,30.43,1.96,3.93,4.91,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,0,0,0,17.67,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,3.19,1.06,0,1.06,2.12,1.06,0,1.06,0,25.49,0,0,5.31,0,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,1.09,2.19,0,1.09,0,0,0,0,0,9.84,1.09,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0,1.09,3.28,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0,2.3,3.06,0.77,0,3.06,0,0.77,0.77,0,0,0,0,0,0,0,0.77,1.53,0,1.53
120,1.96,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
