stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,0,3,0,0,0,0,0,7,0,8,0,0,1,0,0,0,1,3,0,0,0,5,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0.82,0.82,0,0,0,1.64,0,0,0,2.46,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0,0,1.15,0,0,2.3,0,0,2.3,0,0,0,0,6.31,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98,1.96,0.98,0,0,0,0,2.94,0,0,0,0,7.85,0.98,0,0,1.96,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,0,2.94,0,0.98,0,4.91,21.6,0,0.98,2.94,5.89,0,0.98,0.98,0.98,0.98,0.98,16.69,0,0,0,3.93,0,0.98,0,2.94,0,0,0
 84-94,0,0,1.06,0,4.25,0,0,4.25,0,0,0,4.25,56.29,0,1.06,2.12,5.31,0,4.25,1.06,0,3.19,0,13.81,0,0,0,20.18,0,0,0,0,2.12,0,0
 96-106,0,0,2.19,0,6.56,0,0,2.19,1.09,0,0,6.56,87.43,0,2.19,5.46,15.3,1.09,5.46,5.46,2.19,1.09,1.09,8.74,2.19,0,0,14.21,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,13.02,0.77,1.53,3.83,0,2.3,0,4.6,89.62,0,2.3,6.89,27.57,1.53,6.13,4.6,0,1.53,0,10.72,1.53,0.77,0,21.45,0,3.06,0,0,4.6,0,0.77
120,0,0,1.96,0,15.68,1.96,1.96,3.92,0,0,1.96,5.88,70.55,0,3.92,1.96,21.56,0,7.84,5.88,0,0,0,0,0,3.92,0,64.67,0,0,0,1.96,3.92,0,0
