stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,2,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,53.36,0,0,1.64,0,0,2.46,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,74.93,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,4.59,0,0,0,0,75.74,0,0,0,0,0.57,2.87,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0,0,0,64.78,0,0,0.98,0,0,6.87,0,0,0,0,0,0,0,0
 72-82,0.98,13.74,0,0.98,0,0.98,0,0,93.26,0.98,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0.98
 84-94,0,5.31,2.12,0,0,0,0,0,143.38,0,0,1.06,0,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,0,43.71,1.09,1.09,0,0,2.19,0,187.97,2.19,1.09,1.09,0,0,3.28,0,0,0,0,0,1.09,3.28,0
108-118,0,32.94,0.77,3.06,0.77,0,1.53,0,149.36,3.06,0.77,1.53,0.77,0.77,5.36,0.77,0,0,0.77,0,0,1.53,0
120,0,25.48,0,0,3.92,0,3.92,0,188.14,0,0,0,0,1.96,3.92,0,0,1.96,0,0,0,1.96,0
