stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,9.03,0,0,0,0.82,0,0,1.64,0,0.82,0,0,0.82,63.21,0,1.64,0,0,1.64,0.82,0,0,12.31,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,10.47,0,0.81,0,0,0,0,0,0,2.42,0,0,0,107.96,0,3.22,1.61,0,1.61,0,0,0,20.95,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,32.71,0,2.3,0,0,0,0,0.57,0,1.72,0,0,1.72,194.52,0.57,1.72,1.15,0,0.57,0,0,0,29.26,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,65.76,1.96,5.89,0,0,0,0,0,0,0,0,0,0,292.49,0,0,0.98,0,0,0,0.98,0,23.56,0.98,0,0.98,0,0
 72-82,0,0,0.98,2.94,0.98,0,76.57,0,9.82,0,0,0,0,1.96,0,2.94,0.98,0.98,0.98,327.88,0,2.94,3.93,0,1.96,0,0,0,12.76,0,0.98,0,0.98,0.98
 84-94,0,0,0,5.31,1.06,0,52.04,0,13.81,0,0,1.06,0,2.12,1.06,4.25,0,0,0,178.42,0,0,3.19,0,1.06,0,0,0,7.43,0,0,1.06,0,0
 96-106,0,0,1.09,2.19,1.09,2.19,45.9,0,5.46,1.09,0,1.09,1.09,4.37,0,6.56,0,0,0,144.26,0,4.37,4.37,0,3.28,0,1.09,0,9.84,0,1.09,0,0,1.09
108-118,0,0,0,1.53,0.77,0,33.7,0,6.13,0,0,2.3,0.77,1.53,0,6.89,0,0,0,131.75,0,0,5.36,0,0,0,0,0,4.6,0.77,0,0.77,0.77,0
120,0,0,0,3.92,1.96,1.96,21.56,1.96,9.8,1.96,0,1.96,0,3.92,0,5.88,0,0,0,180.3,0,0,5.88,0,0,0,0,0,7.84,0,0,0,0,0
