stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,8,3,2,0,0,1,1,0,0,0,0,0,3,2,21,1,0,1,2,3,5,1,2,7,0
 24-34,0.82,0,0,0,3.28,0,1.64,0,0.82,0,0,0,0,0,0,0,2.46,1.64,16.42,0,0,0,0,3.28,0,0,0.82,6.57,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,4.83,0.81,5.64,0,0,0,0,0.81,0,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,12.05,0,0,0,0,0.57,0,0,0,0,2.3,1.72,9.18,0.57,0,0,0,0.57,0,0,0,1.72,0
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,3.93,0,0,0.98,0,0.98,0,0,0,0,4.91,0,4.91,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,1.09,0,0,5.46,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,2.3,0,0,0,0,0,0,0,0.77,0,1.53,0,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0
