stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,muscle,neural,notochord,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,1,8,2,0,0,0,0,0,4,2,9,1,2,9,5,9,13,1
 24-34,0.82,1.64,1.64,0.82,0.82,0,3.28,0.82,7.39,4.1,9.03,0.82,4.1,0.82,5.75,4.1,7.39,17.24
 36-46,0,0,0,1.61,0,0,0,0.81,8.86,2.42,4.03,0,1.61,0,2.42,0,1.61,8.06
 48-58,0,1.15,0,1.72,0,1.15,0,0,4.02,2.87,4.02,0,0,0,1.15,0,2.87,6.31
 60-70,0,0,0,0.98,0,1.96,2.94,0,0.98,0,2.94,0,0.98,0,0.98,0,0,1.96
 72-82,0,0,0,0,0,0.98,0,0,1.96,2.94,0,0,0,0,0.98,0,0,3.93
 84-94,0,0,0,0,0,2.12,0,0,3.19,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,4.37
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0.77
