stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,1,0,0,1,0,4,0,0,1,1,4
 24-34,0,0,0,0.82,0,0,0.82,0,4.1,0,0.82,0.82,0,2.46
 36-46,0,0,0,0.81,0,0,0.81,0,4.03,0.81,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,1.15,0,1.72,0,0,0,0,1.15
 60-70,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0.98,0,2.94,0.98,0,0.98,0,5.89,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0
