stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,40,0,1,0,0,0,0,0,0,1,25,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0.82,0,0,0,2.46,0,0,0,341.48,0,3.28,0,0,0,0,0,0,0.82,80.44,0,0,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0.81,8.06,0,0.81,0,0,0,0,0,8.86,0,0,2.42,1025.62,0,4.83,0,0,0,1.61,0,0,0,173.22,0,0,0,0
 48-58,0,0.57,0,5.74,0,0,70.58,0,0.57,0,17.21,0,1.15,0,0.57,0,0,0.57,13.2,0,0,4.59,1296.8,1.15,4.59,2.3,0,0,1.15,0,0,0,220.34,0,0,0,0.57
 60-70,0,0,0,3.93,0,0,203.18,0,1.96,0.98,19.63,0.98,0.98,0,0,0,0,0,15.7,0.98,0,0,2142.66,0,0.98,0.98,0,0,0.98,0,0,0,250.29,0,0.98,0,0.98
 72-82,0,2.94,0,9.82,0.98,0,247.38,0,0,0.98,35.34,0,0,0.98,0,0.98,0,0.98,25.52,1.96,0.98,2.94,1505.87,0.98,3.93,0,0,0,2.94,0,0.98,0,140.38,0.98,0.98,1.96,0.98
 84-94,0,1.06,0,12.74,2.12,0,218.78,0,1.06,2.12,30.8,0,1.06,1.06,0,2.12,2.12,0,22.3,0,0,2.12,798.65,0,1.06,0,0,0,3.19,0,1.06,0,87.09,0,1.06,2.12,0
 96-106,0,5.46,0,10.93,2.19,0,120.21,1.09,0,0,28.41,0,1.09,1.09,0,1.09,0,2.19,26.23,2.19,0,2.19,571.56,0,1.09,0,0,0,4.37,1.09,0,0,40.44,1.09,0,1.09,0
108-118,0,2.3,0,2.3,2.3,0,86.55,0,0,0.77,16.85,2.3,0.77,1.53,0,0.77,0.77,0,11.49,0,0,2.3,670.22,0,3.06,0,0,1.53,3.83,0,0,0,22.21,0,0.77,0.77,0
120,0,0,0,7.84,1.96,1.96,103.87,0,0,0,17.64,1.96,0,0,0,0,0,0,15.68,0,0,1.96,723.16,1.96,0,0,0,0,3.92,0,0,0,27.44,0,0,3.92,0
