stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,75.52,0.82,0,1.64,18.88,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0.81,0,0,0,0,0,0,0,170,1.61,0,0.81,33.84,0,0,0,0
 48-58,0,0,0.57,0,37.3,0.57,0.57,0.57,2.87,0,0,0.57,0,0.57,0,0.57,271.41,1.15,0,0,38.44,0,0,0,0
 60-70,0,0,0,0,81.47,0,0,0,5.89,0,0,0,0,2.94,0,0,372,0.98,0,0.98,43.19,0,0,0,0.98
 72-82,0,0,0.98,1.96,127.62,0,0,0,1.96,0,0,0,0.98,2.94,0,0,327.88,0.98,0,0.98,32.39,0,0.98,0,0
 84-94,0,0,2.12,0,74.34,0,0,1.06,3.19,0,0,0,0,2.12,1.06,0,127.44,0,0,0,16.99,0,0,0,1.06
 96-106,0,0,2.19,1.09,63.39,1.09,0,0,5.46,0,1.09,1.09,0,4.37,1.09,1.09,135.51,0,0,1.09,3.28,0,0,0,0
108-118,0,0.77,0.77,0,56.68,0,0,0.77,3.06,0,0,0.77,0.77,2.3,0,0.77,137.11,0,0,0,3.83,0.77,0,0.77,0
120,0,0,1.96,0,43.12,0,0,0,7.84,1.96,0,1.96,0,0,0,0,160.7,0,0,0,3.92,0,0,0,0
