stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,288.09,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,13.14,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,131.44,2.63,0,0,42.06,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,53.5,0,0,0,6.29,3.15,0,0
 14-21,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,3,28,1,0,0,0,0,0,4,0,2,7,0
 24-34,0,0,0,0,2.46,0,3.28,0,0,0,0,0,0,0,0,0,0,6.57,0,0,3.28,46.79,0,0.82,0.82,0,0,4.1,0,0,0.82,12.31,1.64
 36-46,0,0,0,0,1.61,0,12.09,0,1.61,0,0,1.61,0,0,0,0,0,4.03,0,0,1.61,48.34,0.81,0,0,0,0,0,0,0,0,17.72,0.81
 48-58,0,0,0,0,0.57,0,10.9,0,4.59,0,0,0,2.87,0,0,0,0,13.77,0.57,0.57,0.57,48.2,0,0,0.57,0,0,0.57,0,0,0,13.2,0
 60-70,0,0,0,0,1.96,0,21.59,0,4.91,0,0,0,4.91,0,0,0,0,11.78,0,1.96,0,50.06,0,0,0,0,0,0.98,0,0,0,5.89,2.94
 72-82,0,0,0,0,0.98,1.96,19.63,0,6.87,0,0,0,15.71,0,0,1.96,0,19.63,0,0,2.94,55.95,0,0,0,0,0,1.96,0,0,0,5.89,3.93
 84-94,0,0,0,0,2.12,0,18.05,0,4.25,0,0,0,29.74,3.19,0,1.06,0,12.74,1.06,1.06,0,21.24,0,0,1.06,0,0,5.31,0,0,0,3.19,3.19
 96-106,0,0,1.09,0,1.09,2.19,10.93,0,5.46,1.09,0,1.09,49.18,0,0,2.19,0,13.11,0,0,0,30.6,0,0,0,0,1.09,4.37,0,0,0,0,3.28
108-118,0,0,0,0,0.77,2.3,13.02,1.53,3.83,0.77,0,0,25.28,0,2.3,0.77,0,6.89,0,0.77,0,23.74,0,0.77,0.77,0,0.77,3.06,0,0.77,0,0.77,1.53
120,0,0,0,0,1.96,0,3.92,0,1.96,0,0,0,17.64,0,0,1.96,1.96,11.76,0,0,1.96,19.6,0,0,0,0,0,1.96,0,1.96,0,0,0
