stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,3,2,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,9.85,0.82,0,0,0,0,0,0.82,5.75,0,1.64,0,1.64
 36-46,0,0,0,0,3.22,0,0.81,1.61,0,0,0.81,0,0.81,1.61,0.81,0,0.81,0,18.53,0,0,0,0,0,0,0,9.67,0,4.03,0,0.81
 48-58,0,0,0.57,0,5.16,0,0,1.15,0,0,1.15,0.57,0,1.72,2.3,0,0,0.57,32.13,0,0,0,0,0,0,0,9.75,0,7.46,0,0.57
 60-70,0,0,0,0,20.61,0,0,2.94,0,0,0,0,2.94,0.98,3.93,0,0.98,1.96,113.86,0,0,0,0,0,0,0,8.83,0.98,6.87,0,0
 72-82,0,3.93,0,0,39.27,0.98,0.98,3.93,0.98,0.98,2.94,0,0.98,0,9.82,0.98,0,1.96,156.08,0,0,0,0,0,0,0,6.87,0,23.56,0,0.98
 84-94,0,2.12,0,0,40.36,0,0,0,0,0,4.25,1.06,2.12,0,6.37,0,1.06,1.06,86.03,0,0,0,1.06,0,0,0,2.12,0,14.87,0,0
 96-106,0,2.19,0,0,26.23,0,0,1.09,0,0,10.93,1.09,1.09,0,10.93,0,0,2.19,59.01,0,0,0,1.09,0,0,0,3.28,2.19,21.86,4.37,1.09
108-118,0,2.3,1.53,0.77,26.04,0,0.77,0.77,0.77,0,7.66,0,8.43,2.3,6.89,0,0,1.53,88.85,0,0,0.77,0,0,0,0,3.06,0,18.38,3.06,5.36
120,0,7.84,1.96,0,31.36,0,1.96,1.96,0,0,3.92,0,3.92,0,5.88,0,0,5.88,88.19,0,1.96,1.96,0,0,0,0,1.96,0,11.76,3.92,0
