stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,24,0,0,0,1,0,1,3,0,4,7,12,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,0,3.28,0.82,0,0,1.64,0,0,0,0,0,0.82,0.82,0,5.75,0,0.82,9.03,40.22,1.64,0.82,0,0,0,4.1,0,0.82,3.28,0.82,15.6,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0,8.86,2.42,1.61,1.61,4.03,0,0.81,0,0,0,0,0,0.81,6.45,0,0,3.22,58.81,1.61,0,0,0,0,1.61,0,0,3.22,0.81,20.14,0,0,0,0,0.81
 48-58,0,0,0.57,0,2.3,1.15,0,25.82,1.15,1.72,0.57,2.3,0,0.57,0.57,0,0,0,0.57,0,7.46,0,0.57,2.87,82.05,0,0.57,0,0,0,0.57,0,0,4.02,0,19.51,0,0,1.15,0,0
 60-70,0,0,0,0,3.93,0,0,188.45,1.96,0,0,11.78,1.96,0.98,0.98,0.98,0.98,0,0,0,18.65,0.98,0,3.93,129.56,0.98,0.98,0,0,0,0.98,0,0,4.91,0,25.52,0,0.98,2.94,0,0.98
 72-82,0,0,0,0,2.94,0,0,487.89,6.87,1.96,3.93,40.25,1.96,0,0,0,1.96,1.96,0,0,31.41,0,0.98,6.87,214.98,3.93,4.91,0.98,0,0.98,0.98,0,0.98,2.94,0,22.58,0,0.98,7.85,0.98,0.98
 84-94,0,0,0,0,11.68,0,0,413.13,1.06,2.12,0,32.92,0,0,0,0,5.31,1.06,0,0,28.68,2.12,0,5.31,117.89,2.12,2.12,0,0,1.06,8.5,0,0,3.19,0,16.99,0,0,5.31,2.12,1.06
 96-106,0,0,0,0,10.93,3.28,1.09,540.96,7.65,2.19,1.09,55.74,2.19,1.09,1.09,0,5.46,1.09,3.28,0,41.53,2.19,3.28,3.28,146.44,2.19,5.46,1.09,0,2.19,3.28,0,1.09,5.46,0,6.56,1.09,0,9.84,5.46,3.28
108-118,0.77,0,0.77,0,16.09,2.3,0.77,438.13,6.89,1.53,2.3,44.43,2.3,0,1.53,0.77,13.02,1.53,0.77,0,38.3,1.53,2.3,3.06,139.41,7.66,2.3,2.3,0,1.53,3.83,0,0.77,9.19,0,6.89,0.77,0,6.89,2.3,6.13
120,0,0,0,0,35.28,1.96,1.96,523.26,15.68,7.84,3.92,94.07,1.96,1.96,7.84,0,0,0,1.96,0,43.12,0,3.92,3.92,227.34,29.4,3.92,1.96,0,0,5.88,0,0,5.88,0,9.8,0,1.96,9.8,0,0
