stage,endoderm,exocrine_pancreas,eye,fin_epithelia,glial,liver,mesenchyme,muscle,neural,periderm,spinal_cord
  7-9,0,0,2.63,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,1.61,0,0.81
 48-58,0,0,1.15,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0,3.93,0.98,0,1.96,0,0
 72-82,0,0.98,0,0,0,3.93,0,0,3.93,0,0.98
 84-94,0,1.06,3.19,0,0,6.37,1.06,0,4.25,1.06,0
 96-106,1.09,2.19,3.28,0,1.09,2.19,0,1.09,1.09,1.09,0
108-118,0,7.66,2.3,0.77,0.77,8.43,0.77,0,4.6,0.77,0
120,0,3.92,0,0,0,5.88,1.96,0,7.84,0,0
