stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,0,0,7.39,0,0,0,0,0.82,0.82
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,1.61,0,4.03,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,0,0,0,0.57,0.57,0,4.59,0.57,0,0,0.57,1.15,0
 60-70,0,0,0.98,0,4.91,0,0,0,0,0,3.93,0,6.87,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,3.93,0.98,0,0,0.98,0,3.93,0,3.93,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0
