stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,1,10,0,0,0,0
 24-34,0,0,0,0,0,4.93,0,0,0,0,0,0,0,1.64,0.82,0,0,0,106.71,0,0.82,0,0,0,0,0,37.76,0,0,0,0
 36-46,0,0,0,0,0,53.98,0.81,0,0,6.45,0,0.81,0.81,0,0.81,0,0,0.81,329.52,1.61,0.81,0.81,0,0,0.81,0,70.09,0,0,0,0
 48-58,0,0,0.57,0,0,147.47,0,0,0,10.33,0,0,0,0,1.72,0,0,1.15,446.42,0.57,3.44,0.57,0,0.57,0.57,0,63.12,0,1.15,0,0.57
 60-70,0,0,0.98,0,0,337.64,0.98,0,0,25.52,0,0,0.98,0,4.91,0,0,0,632.1,1.96,0.98,0,0,0,2.94,0,77.54,0.98,0.98,0,0
 72-82,0,0,5.89,0.98,0,171.79,0,0,0,26.5,0,0,0,0,7.85,0.98,0.98,0.98,528.13,0,1.96,0,0,0,0.98,0,36.32,0,0,0,0
 84-94,0,0,2.12,2.12,0,168.86,1.06,0,1.06,18.05,2.12,0,1.06,0,7.43,0,2.12,0,266.57,2.12,0,2.12,0,0,4.25,0,27.61,1.06,0,0,0
 96-106,0,0,0,2.19,0,77.59,0,1.09,1.09,17.49,0,0,3.28,1.09,5.46,0,2.19,0,233.87,1.09,4.37,0,0,0,3.28,0,7.65,1.09,2.19,1.09,1.09
108-118,0,0,2.3,0,0.77,91.92,0,0,0,17.62,0,0,0,0.77,3.06,0.77,0,0,243.58,7.66,1.53,0.77,0,0,1.53,0,7.66,0.77,0,0.77,0
120,0,0,1.96,0,0,78.39,0,1.96,0,17.64,0,0,0,0,3.92,0,0,1.96,339.04,7.84,0,0,0,0,0,0,15.68,0,0,1.96,0
