stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,349.39,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,41,11,0,0,0,2,0,0,4,1,1,0,0,0,0,0,6,0,0,0,19,0,0,0,0,0,2,0,2,0,0,2,16,0,4,0,0
 24-34,0,0,0,0,47.61,0.82,0,3.28,0,7.39,0,0,0,0,0.82,0,0,0,0,0.82,13.95,0.82,0,1.64,61.56,0,0,0.82,0,0,4.1,0,0,0,0,1.64,17.24,0,11.49,0,0.82
 36-46,0,0,0,0,29.81,0,0,6.45,0,5.64,0.81,0.81,0,0,1.61,0,0,0,0,0,20.95,0,0.81,2.42,37.87,1.61,0,0,0,0,0,0,0,0,2.42,0,13.7,0,5.64,0,0.81
 48-58,0,0,0,0,14.92,0,0,8.61,0,6.31,0,9.18,0,0,0.57,0.57,0,0,0,0,19.51,0,0.57,5.74,32.13,0.57,0,0,0,0,3.44,0,0,0,1.72,0,17.79,0,17.21,0,0
 60-70,0,0,0,0,23.56,0,0,19.63,1.96,5.89,0,17.67,0,0,0.98,1.96,1.96,0,0,0,40.24,0,0,8.83,44.17,1.96,0,2.94,0,0,1.96,0,0,0,1.96,0,13.74,0,38.28,0,0
 72-82,0,0,0,0,15.71,1.96,0,24.54,0,10.8,0.98,35.34,0.98,0,0.98,5.89,0.98,0.98,0,0,54.97,0,0.98,8.83,35.34,0,0,2.94,0,0.98,0.98,0,0,0.98,0.98,0,5.89,0.98,66.75,0.98,0
 84-94,0,0,0,0,36.11,0,0,12.74,1.06,16.99,0,20.18,4.25,0,0,10.62,0,0,0,0,38.23,0,0,4.25,26.55,0,1.06,0,0,0,2.12,0,0,2.12,0,0,3.19,1.06,60.54,0,0
 96-106,0,0,0,0,37.16,5.46,0,14.21,0,20.76,1.09,17.49,0,0,0,8.74,0,0,0,0,39.34,0,2.19,6.56,21.86,2.19,4.37,0,0,0,6.56,0,0,0,1.09,0,1.09,0,91.8,4.37,0
108-118,0,0,0,0,47.49,2.3,0.77,6.89,0.77,20.68,0.77,20.68,0,0,0.77,8.43,0.77,0.77,0.77,0,23.74,0.77,0.77,4.6,22.98,0.77,2.3,0,0,0,1.53,0,0,0.77,0.77,0,0,0.77,62.81,2.3,0
120,0,0,1.96,0,58.79,3.92,0,9.8,0,29.4,0,15.68,0,0,0,11.76,0,0,0,0,27.44,3.92,1.96,7.84,35.28,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,68.59,1.96,0
