stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,4,0,0,0,28,1,0,0,0,0,7,0,6,18,0,0,2,0,0
 24-34,0,0,0,0.82,11.49,0,0,8.21,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,15.6,1.64,0,4.1,68.95,2.46,0,3.28,0,0,21.34,0,2.46,17.24,0,0,2.46,0,0
 36-46,0,0,0,0,6.45,0,0,4.03,0,0,2.42,4.03,0,0,0.81,0,0,0.81,0.81,0,0,21.75,0,0,4.83,30.62,1.61,0.81,1.61,0,0,21.75,0.81,0,8.06,0,0,3.22,0,0
 48-58,0,0,0,0,0.57,0.57,0,3.44,0,2.3,0,9.18,0,0,0.57,3.44,0,0,1.15,0,1.72,37.87,0,0.57,4.59,13.2,0.57,0,2.3,0,0,12.05,0,0,6.89,0,0,4.59,0,0.57
 60-70,0,0,0,0,2.94,0,0,1.96,0,0.98,1.96,13.74,0,0,0.98,3.93,0,0,1.96,0,3.93,52.02,0,0,0.98,13.74,0,0.98,0,0,0,17.67,0,0,4.91,0,0.98,5.89,0,0.98
 72-82,0,0,0,0,10.8,0,0,10.8,0,1.96,1.96,24.54,1.96,0,0,2.94,0,0,3.93,0,0.98,113.87,5.89,0,6.87,18.65,0,2.94,0.98,0,0.98,20.61,0,0,5.89,0,2.94,11.78,0.98,3.93
 84-94,0,0,0,0,10.62,0,0,26.55,0,3.19,2.12,18.05,1.06,0,3.19,5.31,0,1.06,0,0,5.31,72.22,0,3.19,7.43,10.62,3.19,2.12,1.06,0,0,58.41,1.06,0,0,2.12,3.19,5.31,1.06,5.31
 96-106,0,0,1.09,0,18.58,1.09,0,10.93,0,3.28,3.28,19.67,4.37,1.09,1.09,14.21,6.56,0,4.37,0,2.19,91.8,4.37,2.19,9.84,22.95,1.09,6.56,10.93,1.09,0,78.68,0,0,5.46,2.19,3.28,12.02,4.37,1.09
108-118,0,0,0,0.77,13.02,0,0.77,21.45,3.83,6.13,3.83,13.79,5.36,0,0,4.6,2.3,0,2.3,0.77,8.43,81.19,0.77,1.53,5.36,12.26,3.06,1.53,7.66,0,0.77,43.66,0.77,0,3.83,3.83,2.3,7.66,0.77,9.19
120,0,0,0,0,13.72,0,0,11.76,1.96,0,9.8,13.72,7.84,0,0,11.76,1.96,0,0,1.96,3.92,41.16,3.92,0,1.96,5.88,1.96,0,7.84,0,0,52.91,0,0,1.96,1.96,1.96,0,0,0
