stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,taste
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,10.67,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,0,0,1.61,0,3.22,0,0,11.28,0.81,0
 48-58,0,0.57,1.15,0,0,0,0,0,0,0.57,2.87,0,2.3,0,0,14.92,0,0
 60-70,0,0.98,0.98,0,0.98,0,0,1.96,0,0,3.93,0,3.93,0,0,23.56,0,0
 72-82,1.96,1.96,0,0,0,0,0,3.93,0,0.98,3.93,0,5.89,0,0,21.6,0,0.98
 84-94,2.12,0,2.12,1.06,0,0,0,0,2.12,0,1.06,0,2.12,0,0,37.17,0,2.12
 96-106,13.11,1.09,1.09,0,2.19,1.09,1.09,10.93,0,0,8.74,0,7.65,1.09,0,116.93,0,21.86
108-118,4.6,0.77,0.77,0,0,1.53,0,6.89,0,2.3,5.36,0,2.3,0,0,72.77,0.77,17.62
120,15.68,0,0,0,0,0,0,7.84,0,1.96,1.96,0,7.84,0,1.96,113.67,0,21.56
